爸爸爱妈妈。|/Bàba ài māmā/|Dad loves Mom.
我不喜欢吃辣。|/Wǒ bù xǐhuān chī là/|I don't like spicy food.
今天的菜很好吃。|/Jīntiān de cài hěn hǎo chī/|The food was delicious today.
我喜欢喝茶。|/Wǒ xǐhuān hē chá/|I like to drink tea.
他今天状态很差。|/Tā jīntiān zhuàngtài hěn chà/|He's in a very bad state today.
我常去跑步。|/Wǒ cháng qù pǎobù/|I often go running.
你尝尝这个菜。|/Nǐ cháng cháng zhège cài/|Try this dish.
她唱太好了，大家都起立鼓掌。|/Tā chàng tài hǎo le, dàjiā dōu qǐlì gǔzhǎng/|She sang so well that everyone stood up and applauded.
我家邻居昨天一直不停地唱歌。|/Wǒjiā línjū zuótiān yīzhí bù tíng de chànggē/|My neighbor sang non-stop yesterday.
我们开车去旅行。|/Wǒmen kāichē qù lǚxíng/|We went on a road trip.
快过年了，你买火车票了吗？|/Kuài guò nián le, nǐ mǎi huǒchē piào huí jiā le ma?/|Chinese New Year is almost here, have you bought your train tickets yet?
她在车上学英语。|/Tā zài chē shàng xué yīngyǔ/|She learns English in the car.
车站离这里不远。|/Chēzhàn lí zhè lǐ bù yuǎn/|The station is not far from here.
我喜欢吃苹果。|/Wǒ xǐhuan chī píngguǒ/|I like to eat apples.
我们一起去吃饭吧。|/Wǒmen yīqǐ qù chīfàn ba/|Let's go eat together.
他出去买东西了。|/Tā chū qù mǎi dōngxi le/|He went out to buy things.
你出来，我跟你说句话。|/Nǐ chūlái，wǒ gēn nǐ shuō jù huà/|Come out here, I want to say something to you.
我们一起出去玩儿吧。|/Wǒmen yīqǐ chūqù wánr ba/|Let's go out and have some fun together.
今天我穿了件新衣服。|/Jīntiān wǒ chuān le jiàn xīn yīfu/|I wore a new outfit today.
我很累，想躺在床上。|/Wǒ hěn lèi, xiǎng tǎng zài chuáng shàng/|I'm so tired, I want to lie in bed.
这是我第一次来这里。|/Zhè shì wǒ dì yī cì lái zhè lǐ/|This is my first time here.
我从家里走到学校。|/Wǒ cóng jiālǐ zǒu dào xuéxiào/|I walked from home to school.
你做错了。|/Nǐ zuò cuò le/|You made a mistake.
我弟弟在打篮球。|/Wǒ dìdi zài dǎqiú/|My younger brother is playing basketball.
我们打车去机场。|/Wǒmen dǎ chē qù jīchǎng/|We took a taxi to the airport.
等一下，我要打电话问问。|/Děng yīxià, wǒ yào dǎ diànhuà wèn wèn/|Wait a minute, I need to make a call and ask.
请你把门打开。|/Qǐng nǐ bǎ mén dǎkāi/|Please open the door.
他们很喜欢打球。|/Tā xǐhuān dǎ lánqiú/|They really enjoy playing ball.
这个房子很大。|/Zhège fángzi hěn dà/|This house is very big.
他在北京大学学习。|/Tā zài Běijīng dàxué xuéxí/|He studied at Peking University.
我是大学生。|/Wǒ shì dàxuéshēng/|I am a college student.
我们到达了目的地。|/Wǒmen dàodá le mùdìdì/|We have arrived at our destination.
他得到了奖学金。|/Tā dédào le jiǎngxuéjīn/|He received a scholarship.
孩子们快乐地唱歌。|/Háizimen kuàilè de chànggē/|The children sang happily.
这是我的书。|/Zhè shì wǒ de shū/|This is my book.
我在等她的电话。|/Wǒ zài děng tā de diànhuà/|I'm waiting for her call.
地球上有许多不同的生物。|/Dìqiú shàng yǒu xǔduō bùtóng de shēngwù/|There are many different kinds of organisms on Earth.
会议的地点已经确定了。|/Huìyì de dìdiǎn yǐjīng quèdìng le/|The meeting location has been determined.
他是这个地方的人。|/Tā shì zhège dìfāng de rén/|He's from this place.
地上有很多树叶。|/Dìshàng yǒu hěnduō shùyè/|There are many leaves on the ground.
这是世界地图。|/Zhè shì shìjiè dìtú/|This is a world map.
我有一个弟弟。|/Wǒ yǒu yīgè dìdi/|I have a younger brother.
这是第一个问题。|/Zhè shì dì yī gè wèntí/|This is the first question.
我们去那个点看看。|/Wǒmen qù nàgè diǎn kàn kàn/|Let's go check that spot.
我的手机没电了。|/Wǒ de shǒujī méi diàn le/|My phone is out of battery.
他正在打电话。|/Tā zhèngzài dǎ diànhuà/|He's on another line now.
这个电脑非常贵。|/Zhège diànnǎo fēicháng guì/|This computer is very expensive.
爸爸在看电视。|/Bàba zài kàn diànshì/|Dad is watching TV.
昨天我们看了一部电影。|/Zuótiān wǒmen kàn le yī bù diànyǐng/|Yesterday we watched a movie.
我们去电影院看电影。|/Wǒmen qù diànyǐngyuàn kàn diànyǐng/|We went to the cinema to watch a movie.
学校在东边。|/Xuéxiào zài dōngbian/|The school is on the east side.
吃东西的时候不要说话。|/Chī dōngxi de shíhòu bùyào shuōhuà/|Don't talk while eating.
她的眼睛动了一下。|/Tā de yǎnjīng dòng le yīxià/|Her eyes moved slightly.
舞蹈的动作很优美。|/Wǔdǎo de dòngzuò hěn yōuměi/|The dance movements were very graceful.
我们都很忙。|/Wǒmen dōu hěn máng/|We are all very busy.
我正在读书。|/Wǒ zhèngzài dú shū/|I am reading.
他很努力读书。|/Tā hěn nǔ lì dú shū/|He studied very hard.
你的答案是对的。|/Nǐ de dá'àn shì duì de/|Your answer is correct.
对不起，我迟到了。|/Duìbuqǐ, wǒ chídào le/|I'm sorry, I'm late.
今天的作业不太多。|/Jīntiān de zuòyè bù tài duō/|There isn't much homework today.
今天的水果多了一些。|/Jīntiān de shuǐguǒ duōle yīxiē/|There's a bit more fruit today.
这个多少钱？|/Zhège duōshǎo qián?/|How much is this?
我现在很饿。|/Wǒ xiànzài hěn è/|I'm very hungry right now.
我有一个儿子。|/Wǒ yǒu yí gè érzi/|I have a son.
我们班有二十人。|/Wǒmen bān yǒu èrshí rén/|There are twenty people in our class.
这家饭店的菜很好吃。|/Zhè jiā fàndiàn de cài hěn hǎochī/|The food at this restaurant is delicious.
这是我的房间。|/Zhè shì wǒ de fángjiān/|This is my room.
他们买了一套新房子。|/Tāmen mǎi le yī tào xīn fángzi/|They bought a new house.
请把书放在桌子上。|/Qǐng bǎ shū fàng zài zhuōzi shàng/|Please place the book on the table.
放假了，我们一起去玩吧。|/Fàngjià le, wǒmen yīqǐ qù wán ba/|It's holiday time, let's go have some fun together.
我们下午四点半放学。|/Wǒmen xiàwǔ sì diǎn bàn fàngxué/|We get out of school at 4:30 pm.
小鸟在天上飞得很快。|/Xiǎo niǎo zài tiān shàng fēi de hěn kuài/|The little bird flew very fast in the sky.
我第一次坐飞机时特别开心。|/Wǒ dì yī cì zuò fēijī shí tèbié kāixīn/|I was very happy when I first flew on a plane.
这个地方非常漂亮。|/Zhège dìfāng fēicháng piàoliang/|This place is very beautiful.
这次考试我考了100分。|/Zhè cì kǎoshì wǒ kǎole 100 fēn/|I got 100 points on this exam.
今天的风很大，不要出去。|/Jīntiān de fēng hěn dà, bù yào chūqù/|It's very windy today, don't go out.
这件衣服干了，可以穿了。|/Zhè jiàn yīfu gān le, kěyǐ chuān le/|This garment is dry; it's ready to wear.
你的房间很干净。|/Nǐ de fángjiān hěn gānjìng/|Your room is very clean.
你干什么不早说呀?|/Nǐ gànshénme bù zǎo shuō ya/|Why didn't you say so sooner?
你比我高一点儿。|/Nǐ bǐ wǒ gāo yìdiǎnr/|You are a little taller than me.
今天我很高兴。|/Jīntiān wǒ hěn gāoxìng/|I am very happy today.
妈妈告诉我早点回家。|/Māma gàosu wǒ zǎodiǎn huíjiā/|My mother told me to go home early.
我的哥哥比我大五岁。|/Wǒ de gēge bǐ wǒ dà wǔ suì/|My brother is five years older than me.
这首歌很好听。|/Zhè shǒu gē hěn hǎotīng/|This song is very nice.
我买了一个新手机。|/Wǒ mǎi le yī gè xīn shǒujī/|I bought a new phone.
妈妈给我买了一本书。|/Māma gěi wǒ mǎi le yī běn shū/|My mom bought me a book.
我跟朋友一起去旅行。|/Wǒ gēn péngyǒu yīqǐ qù lǚxíng/|I went on a trip with my friends.
工人们每天都努力工作。|/Gōngrénmen měitiān dōu nǔlì gōngzuò/|The workers work hard every day.
他的工作非常忙。|/Tā de gōngzuò fēicháng máng/|He is very busy with work.
睡觉前别忘了关灯。|/Shuìjiào qián bié wàngle guān dēng/|Don't forget to turn off the lights before going to bed.
请关上门，谢谢你！|/Qǐng guānshàng mén, xièxiè nǐ/|Please close the door, thank you!
这件衣服太贵了。|/Zhè jiàn yīfu tài guì le/|This dress is too expensive.
中国的美食非常有名。|/Zhōngguó de měishí fēicháng yǒumíng/|Chinese cuisine is very famous.
我爱我的国家。|/Wǒ ài wǒ de guójiā/|I love my country.
他在国外上大学。|/Tā zài guówài shàng dàxué/|He attended university abroad.
我去过中国三次。|/Wǒ qù guò Zhōngguó sān cì/|I have been to China three times.
他有一个哥哥，还有一个妹妹。|/Tā yǒu yī gè gēge, hái yǒu yī gè mèimei/|He has an older brother and a younger sister.
你想喝茶还是咖啡？|/Nǐ xiǎng hē chá háishì kāfēi?/|Would you like tea or coffee?
我家里还有两只猫。|/Wǒ jiālǐ hái yǒu liǎng zhī māo/|I also have two cats at home.
孩子们在公园玩儿。|/Háizimen zài gōngyuán wánr/|The children are playing in the park.
他的汉语说得很好。|/Tā de Hànyǔ shuō de hěn hăo/|He speaks Chinese very well.
我会写汉字。|/Wǒ huì xiě Hànzì/|I can write Chinese characters.
你身体好吗？|/Nǐ shēntǐ hǎo ma/|How are you feeling?
这家餐厅的菜非常好吃。|/Zhè jiā cāntīng de cài fēicháng hǎochī/|The food at this restaurant is delicious.
这本书很好看，我喜欢。|/Zhè běn shū hěn hǎokàn, wǒ xǐhuān/|This book is very good; I like it.
这首歌很好听。|/Zhè shǒu gē hěn hǎotīng/|This song is very nice.
这个游戏很好玩儿。|/Zhège yóuxì hěn hǎowánr/|This game is a lot of fun.
你的房间号是多少？|/Nǐ de fángjiān hào shì duōshǎo/|What is your room number?
我每天早上都喝咖啡。|/Wǒ měitiān zǎoshang dōu hē kāfēi/|I drink coffee every morning.
我买了一本书和一件衣服。|/Wǒ mǎile yī běn shū hé yī jiàn yīfú/|I bought a book and a piece of clothing.
我和他一起去公园散步。|/Wǒ hé tā yīqǐ qù gōngyuán sànbù/|I went for a walk in the park with him.
今天的课文很长， 生词很多。|/Jīntiān de kèwén hěn cháng, shēngcí hěnduō/|Today's lesson was very long, with many new words.
书店在学校的后边。|/Shūdiàn zài xuéxiào de hòubian/|The bookstore is behind the school.
我们后天去北京。|/Wǒmen hòutiān qù Běijīng/|We're going to Beijing the day after tomorrow.
花园里有很多花。|/Huāyuán lǐ yǒu hěn duō huā/|There are many flowers in the garden.
她的话让我很高兴。|/Tā de huà ràng wǒ hěn gāoxìng/|Her words made me very happy.
我的手机坏了，不能用。|/Wǒ de shǒujī huài le, bù néng yòng/|My phone is broken and can't be used.
她明天把书还给图书馆。|/Tā míngtiān bǎ shū huán gěi túshū guǎn/|She will return the book to the library tomorrow.
我每天六点回家。|/Wǒ měitiān liù diǎn huí jiā/|I get home at six o'clock every day.
请回答我的问题。|/Qǐng huídá wǒ de wèntí/|Please answer my question.
他回到家了。|/Tā huídào jiā le/|He went home.
朋友们都回家了。|/Péngyǒumen dōu huí jiā le/|My friends have all gone home.
他晚上七点回来。|/Tā wǎnshàng qī diǎn huí lái/|He came back at seven o'clock in the evening.
我们早点回去吧。|/Wǒmen zǎodiǎn huí qù ba/|Let's go back early.
你会做中国菜吗？|/Nǐ huì zuò zhōngguó cài ma/|Can you cook Chinese food?
我坐火车去北京。|/Wǒ zuò huǒchē qù Běijīng/|I took the train to Beijing.
他去机场接朋友。|/Tā qù jīchǎng jiē péngyǒu/|He went to the airport to pick up his friend.
你买机票了吗？|/Nǐ mǎi jīpiào le ma/|Have you bought your plane ticket?
我买了一些鸡蛋。|/Wǒ mǎi le yīxiē jīdàn/|I bought some eggs.
你有几个兄弟姐妹？|/Nǐ yǒu jǐ gè xiōngdì jiěmèi/|How many brothers and sisters do you have?
我记不住这个汉字。|/Wǒ jì bù zhù zhège hànzì/|I can't remember this Chinese character.
你还记得他的生日吗？|/Nǐ hái jìdé tā de shēngrì ma/|Do you remember his birthday?
请记住这个电话号码。|/Qǐng jìzhù zhège diànhuà hàomǎ/|Please remember this phone number.
我家在上海。|/Wǒ jiā zài Shànghǎi/|My home is in Shanghai.
我家里有很多书。|/Wǒ jiālǐ yǒu hěn duō shū/|I have many books at home.
我家人都喜欢吃中国菜。|/Wǒ jiārén dōu xǐhuan chī Zhōngguó cài/|My family loves Chinese food.
他们之间的感情很好。|/Tāmen zhījiān de gǎnqíng hěn hǎo/|They have a very good relationship.
我家有三间卧室。|/Wǒjiā yǒu sān jiān wòshì/|My house has three bedrooms.
我在公园见到朋友。|/Wǒ zài gōngyuán jiàn dào péngyǒu/|I met a friend in the park.
我很高兴和你见面。|/Wǒ hěn gāoxìng hé nǐ jiànmiàn/|I'm very happy to meet you.
她教我们英语。|/Tā jiāo wǒmen Yīngyǔ/|She taught us English.
妈妈叫我回家。|/Māmā jiào wǒ huí jiā/|My mother told me to go home.
教学楼在图书馆东边。|/Jiàoxué lóu zài túshū guǎn dōngbian/|The teaching building is located to the east of the library.
她是我的姐姐。|/Tā shì wǒ de jiějie/|She is my older sister.
我来介绍一下我的朋友。|/Wǒ lái jièshào yīxià wǒ de péngyou/|Let me introduce my friend.
今年是2025年。|/Jīnnián shì 2025 nián/|This year is 2025.
今天的天气很好。|/Jīntiān de tiānqì hěn hǎo/|The weather is great today.
请进！|/Qǐng jìn/|Please come in!
他刚刚进来了。|/Tā gānggāng jìn lái le/|He just came in.
你先进去，我马上来。|/Nǐ xiān jìn qù, wǒ mǎshàng lái/|You go in first, I'll be right there.
这个班有九个学生。|/Zhège bān yǒu jiǔ gè xuéshēng/|There are nine students in this class.
他下班后就回家了。|/Tā xiàbān hòu jiù huíjiā le/|He went home after get off work.
我觉得这本书很好看。|/Wǒ juéde zhè běn shū hěn hǎokàn/|I think this book is very good.
他正在学开车。|/Tā zhèngzài xué kāichē/|He is learning to drive.
我下午三点要开会。|/Wǒ xiàwǔ sān diǎn yào kāi huì/|I have a meeting at 3 PM.
别生气，我只是开玩笑。|/Bié shēngqì, wǒ zhǐshì kāi wánxiào/|Don't be angry, I was just joking.
这本书我看完了。|/Zhè běn shū wǒ kànwán le/|I've finished reading this book.
我今天去医院看病。|/Wǒ jīntiān qù yīyuàn kàn bìng/|I went to the hospital for a checkup today.
我在街上看到一只小猫。|/Wǒ zài jiē shàng kàndào yī zhī xiǎo māo/|I saw a kitten on the street.
我看见一只小鸟在树上唱歌。|/Wǒ kànjiàn yī zhī xiǎo niǎo zài shù shàng chànggē/|I saw a little bird singing in a tree.
这次考试很难。|/Zhè cì kǎoshì hěn nán/|This exam was very difficult.
我口渴了，想喝水。|/Wǒ kǒu kě le, xiǎng hē shuǐ/|I'm thirsty and want to drink water.
今天的汉语课很有意思。|/Jīntiān de Hànyǔ kè hěn yǒuyìsi/|Today's Chinese class was very interesting.
你带课本了吗？|/Nǐ dài kèběn le ma/|Did you bring your textbooks?
请大家朗读课文。|/Qǐng dàjiā lǎngdú kèwén/|Please read the text aloud.
火车快要来了。|/Huǒchē kuài yào lái le/|The train is coming soon.
我喜欢吃糖块儿。|/Wǒ xǐhuan chī táng kuàir/|I like to eat candy.
你什么时候来我家?|/Nǐ shénme shíhòu lái wǒ jiā/|When are you coming to my house?
他来到公司了。|/Tā láidào gōngsī le/|He arrived at the company.
这辆车太老了。|/Zhè liàng chē tài lǎo le/|This car is too old.
老人喜欢在公园散步。|/Lǎorén xǐhuan zài gōngyuán sànbù/|The elderly enjoy taking walks in the park.
她是我们的汉语老师。|/Tā shì wǒmen de Hànyǔ lǎoshī/|She is our Chinese teacher.
我吃了一个苹果。|/Wǒ chī le yīgè píngguǒ/|I ate an apple.
今天工作很累。|/Jīntiān gōngzuò hěn lèi/|I'm very tired from work today.
外面很冷，多穿点衣服。|/Wàimiàn hěn lěng, duō chuān diǎn yīfu/|It's cold outside, wear more clothes.
房间里有很多书。|/Fángjiān lǐ yǒu hěn duō shū/|There are many books in the room.
你在里边等我。|/Nǐ zài lǐbiān děng wǒ/|Wait for me inside.
我有两个姐姐。|/Wǒ yǒu liǎng gè jiějie/|I have two older sisters.
这个数字是零。|/Zhège shùzì shì líng/|The number is zero.
我家有六口人。|/Wǒ jiā yǒu liù kǒu rén/|There are six people in my family.
他们住在五楼。|/Tāmen zhù zài wǔ lóu/|They live on the fifth floor.
我哥哥在楼上睡觉。|/Wǒ gēge zài lóu shàng shuìjiào/|My brother is sleeping upstairs.
我在楼下等你。|/Wǒ zài lóu xià děng nǐ/|I'll wait for you downstairs.
这条路很长。|/Zhè tiáo lù hěn cháng/|This road is very long.
这个路口有很多车。|/Zhège lùkǒu yǒu hěn duō chē/|There are many cars at this intersection.
我在路上，看见了你。|/Wǒ zài lùshàng, kànjiàn le nǐ/|I saw you on the road.
我妈妈做饭很好吃。|/Wǒ māma zuò fàn hěn hǎo chī/|My mom is a great cook.
这个马路很长。|/Zhège mǎlù hěn cháng/|This road is very long.
我马上回来。|/Wǒ mǎshàng huílái/|I'll be right back.
你喜欢中国菜吗？|/Nǐ xǐhuan Zhōngguó cài ma/|Do you like Chinese food?
我想买一件衣服。|/Wǒ xiǎng mǎi yí jiàn yīfu/|I want to buy a piece of clothing.
请说慢一点儿。|/Qǐng shuō màn yìdiǎnr/|Please speak more slowly.
他最近很忙。|/Tā zuìjìn hěn máng/|He's been very busy lately.
小狗的毛很软。|/Xiǎogǒu de máo hěn ruǎn/|The puppy's fur is very soft.
我口袋里有一毛钱。|/Wǒ kǒudài lǐ yǒuyī máo qián/|I have a dime in my pocket.
我今天没时间。|/Wǒ jīntiān méi shíjiān/|I don't have time today.
没关系，我没生气。|/Méiguānxi, wǒ méi shēngqì/|It's okay, I'm not angry.
没什么好担心的。|/Méi shénme hǎo dānxīn de/|There's nothing to worry about.
没事儿，我帮你。|/Méi shìr, wǒ bāng nǐ/|It's okay, I'll help you.
我没有钱。|/Wǒ méiyǒu qián/|I have no money.
我有一个妹妹。|/Wǒ yǒu yīgè mèimei/|I have a younger sister.
我把门关上了。|/Wǒ bǎ mén guānshàng le/|I closed the door.
我在门口等你。|/Wǒ zài ménkǒu děng nǐ/|I'll be waiting for you at the door.
这张门票多少钱？|/Zhè zhāng ménpiào duōshǎo qián/|How much is this ticket?
我们是好朋友。|/Wǒmen shì hǎo péngyǒu/|We are good friends.
我每天都吃米饭。|/Wǒ měitiān dōu chī mǐfàn/|I eat rice every day.
你想吃面包吗？|/Nǐ xiǎng chī miànbāo ma/|Do you want some bread?
这碗面条儿很好吃。|/Zhè wǎn miàntiáor hěn hǎochī/|This bowl of noodles is delicious.
你的名字是什么？|/Nǐ de míngzi shì shénme/|what your name?
我明白你的意思。|/Wǒ míngbai nǐ de yìsi/|I understand what you mean.
明年我想去中国。|/Míngnián wǒ xiǎng qù Zhōngguó/|I want to go to China next year.
明天是星期几？|/Míngtiān shì xīngqī jǐ/|What day is tomorrow?
请帮我拿一下。|/Qǐng bāng wǒ ná yíxià/|Please take this for me.
你喜欢哪本书？|/Nǐ xǐhuān nǎ běn shū/|Which book do you like?
你住在哪里？|/Nǐ zhù zài nǎlǐ/|Where do you live?
那部电影是在哪儿拍的？|/Nà bù diànyǐng shì zài nǎr pāi de/|Where was that movie filmed?
你见过哪些名人？|/Nǐ jiànguò nǎxiē míngrén/|Which celebrities have you met?
那是我的书。|/Nà shì wǒ de shū/|That's my book.
你看到那边的猫了吗？|/Nǐ kàn dào nà bian de māo le ma/|Do you see that cat over there?
我刚从那里回来。|/Wǒ gāng cóng nàlǐ húilái/|I just got back from there.
你要去那儿做什么？|/Nǐ yào qù nàr zuò shénme/|What are you going there for?
那些书都送给你吧。|/Nàxiē shū dōu sòng gěi nǐ ba/|I'll give you all those books.
我奶奶今年八十岁。|/Wǒ nǎinai jīnnián bāshí suì/|My grandmother is eighty years old this year.
我们班有很多男同学。|/Wǒmen bān yǒu hěnduō nán tóngxué/|There are many male students in our class.
男孩儿在公园里踢足球。|/Nánháir zài gōngyuán lǐ tī zúqiú/|The boy is playing soccer in the park.
她的男朋友很帅。|/Tā de nánpéngyou hěn shuài/|Her boyfriend is very handsome.
那个男人在看手机。|/Nàgè nánrén zài kàn shǒujī/|The man was looking at his phone.
这个班的男生比女生多。|/Zhège bān de nánshēng bǐ nǚshēng duō/|There are more boys than girls in this class.
我喜欢南方的美食。|/Wǒ xǐhuan nánfāng de měishí/|I like the food from the South.
我家在学校南边。|/Wǒ jiā zài xuéxiào nánbiān/|My home is south of the school.
这个问题很难回答。|/Zhège wèntí hěn nán huídá/|This is a difficult question to answer.
我是学生，你呢？|/Wǒ shì xuéshēng, nǐ ne/|I'm a student, what about you?
咱们一定能完成任务。|/Zánmen yídìng néng wánchéng rènwù/|We will definitely be able to complete the mission.
你喜欢吃什么？|/Nǐ xǐhuan chī shénme/|What do you like to eat?
你们要去哪儿？|/Nǐmen yào qù nǎr/|Where are you going?
你是几年级的学生？|/Nǐ shì jǐ niánjí de xuéshēng/|What grade are you in?
您喜欢喝茶还是喝咖啡？|/Nín xǐhuan hē chá háishì hē kāfēi/|Do you prefer tea or coffee?
我喜欢喝牛奶。|/Wǒ xǐhuan hē niúnǎi/|I like to drink milk.
我的女儿非常可爱。|/Wǒ de nǚ ér fēicháng kě ài/|My daughter is very cute.
你家女孩儿几岁了？|/Nǐ jiā nǚháir jǐ suì le/|How old is your daughter?
你有女朋友吗？|/Nǐ yǒu nǚ péngyǒu ma/|Do you have a girlfriend?
女人都喜欢买漂亮的衣服。|/Nǚrén dōu xǐhuān mǎi piàoliang de yīfu/|Women love to buy pretty clothes.
这些女生喜欢画画。|/Zhèxiē nǚshēng xǐhuān huà huà/|These girls like to draw.
厨房在客厅的旁边。|/Chúfáng zài kètīng de pángbiān/|The kitchen is next to the living room.
他每天早上都跑步。|/Tā měitiān zǎoshang dōu pǎobù/|He runs every morning.
我有很多朋友。|/Wǒ yǒu hěn duō péngyou/|I have many friends.
这件衣服很漂亮。|/Zhè jiàn yīfu hěn piàoliang/|This dress is beautiful.
我有七本书。|/Wǒ yǒu qī běn shū/|I have seven books.
今天睡到上午10点才起。|/Jīntiān shuì dào shàngwǔ 10 diǎn cái qǐ/|I slept until 10 a.m. today.
我每天六点起床。|/Wǒ měitiān liù diǎn qǐchuáng/|I get up at six o'clock every day.
他站起来了。|/Tā zhàn qǐlái le/|He stood up.
这辆汽车是我爸爸的。|/Zhè liàng qìchē shì wǒ bàba de/|This car belongs to my dad.
他12号前会回来。|/Tā 12 hào qián huì huílái/|He will be back before the 12th.
学校就在前边。|/Xuéxiào jiù zài qiánbiān/|The school is just ahead.
我前天去了上海。|/Wǒ qiántiān qù le Shànghǎi/|I went to Shanghai the day before yesterday.
我没钱。|/Wǒ méi qián/|I have no money.
"我的钱包不见了。	|/Wǒ de qiánbāo bú jiàn le/|My wallet is missing."
请给我一杯水。|/Qǐng gěi wǒ yì bēi shuǐ/|Water, please.
老师，今天我想请假。|/Lǎoshī, jīntiān wǒ xiǎng qǐngjià/|Teacher, I would like to ask for leave today.
请进，大家都在等你。|/Qǐng jìn, dàjiā dōu zài děng nǐ/|Please come in, everyone is waiting for you.
请问您有空吗？|/Qǐngwèn nín yǒu kòng ma/|Are you free?
欢迎光临，请坐。|/Huānyíng guānglín, qǐng zuò/|Welcome, please have a seat.
他喜欢踢足球。|/Tā xǐhuan tī zúqiú/|He likes to play football.
他吃完饭就去了。|/Tā chī wán fàn jiù qù le/|He went there after he finished eating.
去年我买了一辆新车。|/Qùnián wǒ mǎi le yī liàng xīnchē/|I bought a new car last year.
今天的天气很热。|/Jīntiān de tiānqì hěn rè/|It's very hot today.
这个世界上有很多好人。|/Zhège shìjiè shàng yǒu hěn duō hǎorén/|There are many good people in this world.
我认识他。|/Wǒ rènshi tā/|I know him.
他学习很认真。|/Tā xuéxí hěn rènzhēn/|He studies very diligently.
文件的日期写错了。|/Wénjiàn de rìqí xiě cuò le/|The date on the file is incorrect.
我喜欢吃鸡肉。|/Wǒ xǐhuan chī jīròu/|I like to eat chicken.
我有三个好朋友。|/Wǒ yǒu sān gè hǎo péngyǒu/|I have three good friends.
那座山很高。|/Nà zuò shān hěn gāo/|That mountain is very high.
我们去商场买衣服吧。|/Wǒmen qù shāngchǎng mǎi yīfú ba/|Let's go to the mall to buy clothes.
这个商店很大。|/Zhège shāngdiàn hěn dà/|This store is very big.
书在桌子上。|/Shū zài zhuōzi shàng/|The book is on the table.
他每天八点上班。|/Tā měitiān bā diǎn shàngbān/|He goes to work at eight o'clock every day.
笔在书的上边。|/Bǐ zài shū de shàngbiān/|The pen is at the top of the book.
我们快上车吧。|/Wǒmen kuài shàng chē ba/|Let's get on the bus quickly.
上次我们去上海了。|/Shàng cì wǒmen qù Shànghǎi le/|We went to Shanghai last time.
现在是上课时间。|/Xiànzài shì shàngkè shíjiān/|It's class time now.
他喜欢上网买东西。|/Tā xǐhuan shàng wǎng mǎi dōngxi/|He likes to buy things online.
我上午有一个会议。|/Wǒ shàngwǔ yǒu yī gè huìyì/|I have a meeting this morning.
孩子们七点上学。|/Háizimen qī diǎn shàng xué/|The children go to school at seven o'clock.
这里的人很少。|/Zhèlǐ de rén hěn shǎo/|There are very few people here.
这是谁的书？|/Zhè shì shéi de shū/|Whose book is this?
