
的 | de | possessive, adjectival suffix
或 | huò | or, either, else; perhaps, maybe
种 | zhǒng | seed; race; offspring; to plant
像 | xiàng | a picture, image, figure; to resemble
应 | yìng | should, ought to, must
女 | nǚ | woman, girl; feminine; rad. 38
教 | jiào | teach, class
分 | fēn | divide; small unit of time etc.
手 | shǒu | hand
打 | dǎ | strike, hit, beat; fight; attack
已 | yǐ | already; finished; stop
次 | cì | order, sequence; next
长 | cháng | long; length; excel in; leader
太 | tài | very, too, much; big; extreme
明 | míng | bright, light, brilliant; clear
己 | jǐ | self, oneself; personal, private; 6th heavenly stem
路 | lù | road, path, street; journey
起 | qǐ | rise, stand up; go up; begin
相 | xiāng | mutual, reciprocal, each other
主 | zhǔ | master, chief owner; host; lord
关 | guān | frontier pass; close; relation
凤 | fèng | male phoenix; symbol of joy
间 | jiān | interval, space; place, between
呢 | ní | interrogative or emphatic final; (Cant.) this
觉 | jué | to wake up from sleep; conscious
该 | gāi | should, ought to, need to
十 | shí | pick up, collect, tidy up; accounting form of the numeral ten
外 | wài | out, outside, external; foreign
凰 | huáng | female phoenix
友 | yǒu | friend, companion; fraternity
才 | cái | talent, ability; just, only
民 | mín | people, subjects, citizens
系 | xì | attach, connect, unite, fasten
进 | jìn | advance, make progress, enter
使 | shǐ | cause, send on a mission, order; envoy, messenger, ambassador
她 | tā | she, her
着 | zhù | manifest; (Cant.) to wear
各 | gè | each, individually, every, all
少 | shǎo | few, less, inadequate
全 | quán | maintain, keep whole or intact
两 | liǎng | two, both, pair, couple; ounce
回 | huí | return, turn around; a time
加 | jiā | add to, increase, augment
将 | jiāng | will, going to, future; general
感 | gǎn | feel, perceive, emotion
第 | dì | sequence, number; grade, degree
性 | xìng | nature, character, sex
球 | qiú | ball, sphere, globe; round
式 | shì | style, system, formula, rule
把 | bǎ | hold, take; guard; regard as
被 | bèi | passive indicator 'by'; bedding
老 | lǎo | old, aged; experienced
公 | gōng | fair, equitable; public; duke
龙 | lóng | dragon; symbolic of emperor
程 | chéng | journey, trip; schedule, agenda
论 | lùn | debate; discuss; discourse
及 | jí | extend; reach; come up to; and
别 | bié | separate, other; do not
给 | gěi | give; by, for
听 | tīng | hear, listen; understand; obey
水 | shuǐ | water, liquid, lot5on, juice
重 | zhòng | heavy, weighty; double
体 | tǐ | body; group, class, body, unit
做 | zuò | work, make; act
校 | xiào | school; military field officer
里 | lǐ | inside, interior, within
常 | cháng | common, normal, frequent, regular
东 | dōng | east, eastern, eastward
风 | fēng | wind; air; manners, atmosphere
您 | nín | honorific for 'you'
湾 | wān | a bay, cove, inlet, bend of stream
啦 | la | final particle of assertion
见 | jiàn | see, observe, behold; perceive
解 | jiě | loosen, unfasten, untie; explain
等 | děng | rank, grade; wait; equal; 'etc.'
部 | bù | part, division, section
原 | yuán | source, origin, beginning
月 | yuè | moon; month; KangXi radical 74
美 | měi | beautiful, pretty; pleasing
先 | xiān | first, former, previous
管 | guǎn | pipe, tube, duct; woodwind music
区 | qū | area, district, region, ward; surname
错 | cuò | error, blunder, mistake, wrong
音 | yīn | sound, tone, pitch, pronunciation
否 | fǒu | not, no, negative; final particle
啊 | a | exclamatory particle
找 | zhǎo | search, seek, look for; find
网 | wǎng | net, web; network
乐 | yuè | happy, glad; enjoyable; music
让 | ràng | allow, permit, yield, concede
通 | tōng | pass through, common, communicate
入 | rù | enter, come in(to), join
期 | qí | period of time; date; time limit
选 | xuǎn | choose, select; elect; election
较 | jiào | compare; comparatively, more
四 | sì | four
场 | cháng | open space, field, market
由 | yóu | cause, reason; from
书 | shū | book, letter, document; writings
它 | tā | it; other
快 | kuài | rapid, quick, speedy, fast; soon
从 | cóng | from, by, since, whence, through
欢 | huān | happy, pleased, glad; joy; to enjoy
数 | shù | number; several; count; fate
表 | biǎo | a watch, clock
怎 | zěn | what? why? how?
至 | zhì | reach, arrive; extremely, very
立 | lì | stand; let stand; establish, set
内 | nèi | inside, interior; domestic
合 | hé | combine, unite, join; gather
目 | mù | eye; look, see; division, topic
望 | wàng | to look at, look forward; to hope, expect
认 | rèn | recognize, know, understand
几 | jǐ | how many? how much?; a few, some
社 | shè | god of the soil and altars to him; group of families; company, society
告 | gào | tell, announce, inform; accuse
更 | gèng | more, still further, much more
版 | bǎn | printing blocks; edition
度 | dù | degree, system; manner; to consider
考 | kǎo | examine, test; investigate
喜 | xǐ | like, love, enjoy; joyful thing
头 | tóu | head; top; chief, first; boss
难 | nán | difficult, arduous, hard; unable
光 | guāng | light, brilliant, shine; only
买 | mǎi | buy, purchase; bribe, persuade
今 | jīn | now, today, modern era
身 | shēn | body; trunk, hull; rad. no. 158
许 | xǔ | allow, permit; promise; betroth
弟 | dì | young brother; junior; i, me
若 | ruò | if, supposing, assuming; similar
算 | suàn | count, calculate, figure; plan
记 | jì | record; keep in mind, remember
代 | dài | replace, replacement (of person or generation >); era, generation
统 | tǒng | govern, command, control; unite
处 | chù | place, locale; department
完 | wán | complete, finish, settle; whole
号 | hào | mark, sign; symbol; number
接 | jiē | receive; continue; catch; connect
言 | yán | words, speech; speak, say
政 | zhèng | government, political affairs
玩 | wán | play with, joke, enjoy
师 | shī | teacher, master, specialist; multitude, troops
字 | zì | letter, character, word
并 | bìng | combine, annex
男 | nán | male, man; son; baron; surname
计 | jì | plan, plot; strategem; scheme
谁 | shuí | who? whom? whose? anyone?
山 | shān | mountain, hill, peak
张 | zhāng | stretch, extend, expand; sheet
党 | dǎng | political party, gang, faction
每 | měi | every, each
且 | qiě | moreover, also (post-subject); about to, will soon (pre-verb)
结 | jié | knot, tie; join, connect
改 | gǎi | change, alter; improve, remodel
非 | fēi | not, negative, non-; oppose
星 | xīng | a star, planet; any point of light
连 | lián | join, connect; continuous; even
哈 | hā | sound of laughter
建 | jiàn | build, establish, erect, found
放 | fàng | put, release, free, liberate
直 | zhí | straight, erect, vertical
转 | zhuǎn | shift, move, turn
报 | bào | report, tell, announce
活 | huó | live, exist, survive; lively
设 | shè | build; establish; display; particle of hypothesis, supposing
变 | biàn | change, transform, alter; rebel
指 | zhǐ | finger, toe; point, indicate
气 | qì | air, gas, steam, vapor; spirit
研 | yán | grind, rub; study, research
陈 | chén | exhibit, display; plead; surname
试 | shì | test, try, experiment
西 | xī | west(ern); westward, occident
五 | wǔ | five; surname
希 | xī | rare; hope, expect, strive for
取 | qū | take, receive, obtain; select
神 | shén | spirit, god, supernatural being
化 | huà | change, convert, reform; -ize
物 | wù | thing, substance, creature
王 | wáng | king, ruler; royal; surname
战 | zhàn | war, fighting, battle
近 | jìn | near, close; approach; intimate
世 | shì | generation; world; era
受 | shòu | receive, accept, get; bear, stand
义 | yì | right conduct, righteousness
反 | fǎn | reverse, opposite, contrary, anti
单 | dān | single, individual, only; lone
死 | sǐ | die; dead; death
任 | rèn | trust to, rely on, appoint; to bear, duty, office; allow
跟 | gēn | heel; to follow, accompany; with
便 | biàn | convenience, ease; expedient
空 | kōng | empty, hollow, bare, deserted
林 | lín | forest, grove; surname
士 | shì | scholar, gentleman; soldier
台 | tái | taiphoon
却 | què | still, but; decline; retreat
北 | běi | north; northern; northward
队 | duì | team, group; army unit
功 | gōng | achievement, merit, good result
必 | bì | surely, most certainly; must
声 | shēng | sound, voice, noise; tone; music
写 | xiě | write; draw, sketch; compose
平 | píng | flat, level, even; peaceful
影 | yǐng | shadow; image, reflection; photograph
业 | yè | profession, business, trade
金 | jīn | gold; metals in general; money
档 | dǎng | shelf; frame, crosspiece
片 | piàn | slice, splinter, strip; rad. 91
讨 | tǎo | to discuss; ask for, beg; demand; dun; marry
色 | sè | color, tint, hue, shade; form, body; beauty, desire for beauty
容 | róng | looks, appearance; figure, form
央 | yāng | center, conclude, run out; beg
妳 | nǎi | you (f.)
向 | xiàng | once upon time; period of time
市 | shì | market, fair; city, town; trade
则 | zé | rule, law, regulation; grades
员 | yuán | member; personnel, staff member
兴 | xīng | thrive, prosper, flourish
利 | lì | gains, advantage, profit, merit
强 | qiáng | strong, powerful, energetic
白 | bái | white; pure, unblemished; bright
价 | jià | price, value
安 | ān | peaceful, tranquil, quiet
呵 | hē | scold; laughing sound; yawn
特 | tè | special, unique, distinguished
思 | sī | think, consider, ponder; final particle
叫 | jiào | cry, shout; hail, greet, call
总 | zǒng | collect; overall, altogether
办 | bàn | manage, do, handle; deal with
保 | bǎo | protect, safeguard, defend, care
花 | huā | flower; blossoms
议 | yì | consult, talk over, discuss
传 | chuán | summon; propagate, transmit
元 | yuán | first; dollar; origin; head
求 | qiú | seek; demand, request; beseech
份 | fèn | portion, part; duty
件 | jiàn | numerary adjunct for article; matter
持 | chí | sustain, support; hold, grasp
万 | wàn | ten thousand; innumerable
未 | wèi | not yet; 8th terrestrial branch
究 | jiù | examine, investigate
决 | jué | decide, determine, judge
投 | tóu | throw, cast, fling, pitch; jump
哪 | nǎ | which? where? how?
喔 | wō | descriptive of crying or of crowing
笑 | xiào | smile, laugh, giggle; snicker
猫 | māo | cat
组 | zǔ | class; section, department
独 | dú | alone, single, solitary, only
级 | jí | level, rank, class; grade
走 | zǒu | walk, go on foot; run; leave
支 | zhī | disperse, pay; support; branch
曾 | céng | already; sign of past
标 | biāo | a mark, symbol, label, sign; standard
流 | liú | flow, circulate, drift; class
竹 | zhú | bamboo; flute; KangXi radical 118
兄 | xiōng | elder brother
阿 | ā | prefix for people's names; used in transliteration
室 | shì | room, home, house, chamber
卡 | qiǎ | card, punch card; calorie
马 | mǎ | horse; surname; KangXi radical 187
共 | gòng | together with, all, total; to share
需 | xū | need, require, must
海 | hǎi | sea, ocean; maritime
口 | kǒu | mouth; open end; entrance, gate
门 | mén | gate, door, entrance, opening
般 | bān | sort, manner, kind, category
线 | xiàn | thread, line, wire; clue
语 | yǔ | language, words; saying, expression















































































































































































































































































































































































































































































































































































































