		
岸	/àn/	Bờ, bờ sông, bờ biển
背心	/bèixīn/	Áo ba lỗ, áo gi-lê
备用	/bèiyòng/	Dự phòng, dự bị
倍增	/bèizēng/	Tăng gấp đôi
奔跑	/bēnpǎo/	Chạy, phi nước đại
本能	/běnnéng/	"Bản năng
Một cách bản năng"
本身	/běnshēn/	Bản thân
本土	/běntǔ/	Bản địa, địa phương
逼	/bī/	Ép, ép buộc
比方	/bǐfang/	Ví dụ, ví như, chẳng hạn
比重	/bǐzhòng/	Tỷ trọng
闭	/bì/	Đóng, nhắm
避	/bì/	Tránh, tránh né
必修	/bìxiū/	Bắt buộc (môn học)
编	/biān/	Biên soạn, dệt, bện
编辑	/biānjí/	Biên tập, chỉnh sửa, Biên tập viên
编写	/biānxiě/	Biên soạn, viết
遍地	/biàndì/	Khắp nơi, khắp chỗ
便捷	/biànjié/	Tiện lợi, nhanh chóng
变质	/biànzhì/	Biến chất, hư hỏng
兵	/bīng/	Binh, lính
病毒	/bìngdú/	Virus
播	/bō/	Phát, phát sóng
播种	/bōzhǒng/	Gieo hạt, gieo trồng
博览会	/bólǎnhuì/	Hội chợ, triển lãm
薄弱	/bóruò/	Yếu kém, mỏng yếu
脖子	/bózi/	Cổ
不耐烦	/bú nàifán/	Thiếu kiên nhẫn, không kiên nhẫn
不顾	/búgù/	Không quan tâm, bất chấp
不料	/búliào/	Không ngờ, bất ngờ
不适	/búshì/	Khó chịu, không thoải mái
不至于	/búzhìyú/	Không đến mức, không đến nỗi
补	/bǔ/	Bù, bổ sung
捕	/bǔ/	Bắt, bắt giữ
补偿	/bǔcháng/	Bồi thường, đền bù
补课	/bǔkè/	Học bù, bổ túc
补贴	/bǔtiē/	Trợ cấp, bù đắp
补习	/bǔxí/	Học thêm, bổ túc
布	/bù/	Vải
不安	/bù'ān/	Bất an, lo lắng
不曾	/bùcéng/	Chưa từng, không bao giờ
不成	/bùchéng/	"Không được, không xong
Không ổn, không tốt
Chẳng lẽ, há (dùng trong câu hỏi tu từ)"
不得	/bùdé/	Không được, không thể
部队	/bùduì/	Quân đội, bộ đội
不禁	/bùjīn/	Không khỏi, không nhịn được
不时	/bùshí/	"Thỉnh thoảng, không thường xuyên
Lúc nào cũng có thể"
部位	/bùwèi/	Bộ phận, vị trí
不许	/bùxǔ/	Không cho phép, cấm
不宜	/bùyí/	Không nên, không thích hợp
不已	/bùyǐ/	Không ngừng, không thôi
布置	/bùzhì/	Bố trí, sắp xếp, trang trí
不止	/bùzhǐ/	Không chỉ, không dừng lại, Liên tục, không ngừng
步骤	/bùzhòu/	Bước, quy trình
猜测	/cāicè/	Đoán, suy đoán
财产	/cáichǎn/	Tài sản
财富	/cáifù/	Của cải, tài sản
才华	/cáihuá/	Tài năng, tài hoa
才能	/cáinéng/	Năng lực, tài năng
财务	/cáiwù/	Tài chính, tài vụ
财物	/cáiwù/	Tài vật, của cải
材质	/cáizhì/	Chất liệu, vật liệu
踩	/cǎi/	Giẫm, đạp, bước lên
采购	/cǎigòu/	Mua sắm; thu mua, mua hàng
彩虹	/cǎihóng/	Cầu vồng
采集	/cǎijí/	Thu thập, sưu tầm
采纳	/cǎinà/	Chấp nhận, áp dụng
彩票	/cǎipiào/	Vé xổ số
参展	/cānzhǎn/	Tham gia triển lãm
残疾	/cánjí/	Khuyết tật, tàn tật
仓库	/cāngkù/	Kho hàng, kho bãi
草原	/cǎoyuán/	Đồng cỏ, thảo nguyên
侧	/cè/	Bên cạnh; nghiêng về một bên
策划	/cèhuà/	Lập kế hoạch, vạch kế hoạch
测量	/cèliáng/	Đo lường
策略	/cèlüè/	Chiến lược, mưu lược
层次	/céngcì/	Tầng lớp, cấp độ
层面	/céngmiàn/	Bình diện, khía cạnh
叉	/chā/	Cái nĩa; bắt chéo, xiên
差异	/chāyì/	Sự khác biệt
插座	/chāzuò/	Ổ cắm điện
查询	/cháxún/	Tra cứu, kiểm tra
拆除	/chāichú/	Tháo dỡ, phá dỡ
产出	/chǎnchū/	Sản xuất, tạo ra
产地	/chǎndì/	Nơi sản xuất, nguồn gốc
肠	/cháng/	Ruột
长短	/chángduǎn/	Chiều dài, thời lượng
常规	/chángguī/	Quy tắc thông thường; thông thường
常年	/chángnián/	Suốt năm; quanh năm
长寿	/chángshòu/	Trường thọ
常温	/chángwēn/	Nhiệt độ phòng
场次	/chǎngcì/	Số buổi biểu diễn, số trận
场地	/chǎngdì/	Địa điểm, sân bãi
场馆	/chǎngguǎn/	Nhà thi đấu, trung tâm triển lãm
场合	/chǎnghé/	Hoàn cảnh, dịp
厂家	/chǎngjiā/	Nhà sản xuất
场景	/chǎngjǐng/	Cảnh, bối cảnh
场面	/chǎngmiàn/	Cảnh tượng, quy mô
厂商	/chǎngshāng/	Nhà sản xuất, công ty
畅通	/chàngtōng/	Thông thoáng, không tắc
畅销	/chàngxiāo/	Bán chạy
抄	/chāo/	Sao chép, chép lại
超越	/chāoyuè/	Vượt qua, vượt trội
朝代	/cháodài/	Triều đại
潮流	/cháoliú/	Xu hướng, trào lưu
潮湿	/cháoshī/	Ẩm ướt
嘲笑	/cháoxiào/	Chế giễu, cười nhạo
炒股	/chǎogǔ/	Đầu cơ chứng khoán
吵架	/chǎojià/	Cãi nhau
撤回	/chèhuí/	Rút lại, thu hồi
撤销	/chèxiāo/	Hủy bỏ, bãi bỏ
沉重	/chénzhòng/	Nặng nề, đè nặng
趁	/chèn/	Nhân lúc,趁 cơ hội
撑	/chēng/	Chống đỡ, nâng đỡ
称号	/chēnghào/	Danh hiệu, biệt danh
称呼	/chēnghu/	Gọi là; cách xưng hô
称作	/chēngzuò/	Được gọi là
成	/chéng/	Một phần mười (10%)
乘	/chéng/	Đi (xe, tàu), nhân
盛	/chéng/	Đựng, chứa
承办	/chéngbàn/	Đảm nhận, tổ chức
惩罚	/chéngfá/	Trừng phạt
成交	/chéngjiāo/	Giao dịch thành công
承诺	/chéngnuò/	Cam kết, hứa
成千上万	/chéngqiān-shàngwàn/	Hàng ngàn hàng vạn, vô số
呈现	/chéngxiàn/	Trình bày, hiện ra
成效	/chéngxiào/	Hiệu quả, kết quả
诚信	/chéngxìn/	Trung thực, đáng tin
成语	/chéngyǔ/	Thành ngữ
城镇	/chéngzhèn/	Thị trấn, thành thị nhỏ
持久	/chíjiǔ/	Lâu dài, bền vững
持有	/chíyǒu/	Nắm giữ, sở hữu
尺	/chǐ/	Thước (đơn vị chiều dài); thước đo
尺寸	/chǐcùn/	Kích cỡ, kích thước
冲动	/chōngdòng/	Xung động; bốc đồng
冲击	/chōngjī/	Va chạm, tác động mạnh
充实	/chōngshí/	Phong phú; làm phong phú
冲突	/chōngtū/	Xung đột
崇拜	/chóngbài/	Sùng bái, ngưỡng mộ
重建	/chóngjiàn/	Xây dựng lại
冲	/chòng/	Hướng về; với lực mạnh
抽奖	/chōujiǎng/	Quay thưởng, bốc thăm
抽象	/chōuxiàng/	Trừu tượng
愁	/chóu/	Lo lắng, buồn phiền
筹备	/chóubèi/	Chuẩn bị, sắp xếp
初步	/chūbù/	Sơ bộ, ban đầu
出场	/chūchǎng/	Ra sân, xuất hiện
初等	/chūděng/	Sơ cấp, cơ bản
出境	/chūjìng/	Xuất cảnh
出力	/chūlì/	Ra sức, góp sức
出名	/chūmíng/	Nổi tiếng
出入	/chūrù/	Sai lệch, chênh lệch
出示	/chūshì/	Xuất trình, đưa ra
出游	/chūyóu/	Đi du lịch
出于	/chūyú/	Do, xuất phát từ
除	/chú/	Loại bỏ; chia; trừ
除非	/chúfēi/	Trừ phi, trừ khi
储存	/chǔcún/	Lưu trữ, cất giữ
处罚	/chǔfá/	Phạt, xử phạt
储蓄	/chǔxù/	Tiết kiệm; tiền tiết kiệm
处处	/chùchù/	Khắp nơi, đâu đâu cũng
穿过	/chuānguò/	Đi qua, xuyên qua
传承	/chuánchéng/	Kế thừa và phát huy
传达	/chuándá/	Truyền đạt, chuyển tải
传染	/chuánrǎn/	Lây nhiễm
传染病	/chuánrǎnbìng/	Bệnh truyền nhiễm
传授	/chuánshòu/	Truyền thụ, dạy
传输	/chuánshū/	Truyền tải, truyền dữ liệu
传真	/chuánzhēn/	Fax
船只	/chuánzhī/	Tàu thuyền
串	/chuàn/	Xâu, chuỗi; đơn vị đếm xâu
窗口	/chuāngkǒu/	Cửa sổ, quầy giao dịch
闯	/chuǎng/	Xông vào, đột nhập
创办	/chuàngbàn/	Thành lập, sáng lập
创建	/chuàngjiàn/	Xây dựng, sáng tạo
创立	/chuànglì/	Sáng lập, thiết lập
创意	/chuàngyì/	Ý tưởng sáng tạo; sáng tạo
垂直	/chuízhí/	Thẳng đứng, vuông góc
纯	/chún/	Thuần khiết; thuần túy
瓷器	/cíqì/	Đồ sứ
此刻	/cǐkè/	Lúc này, khoảnh khắc này
刺	/cì/	Châm, đâm; gai
次数	/cìshù/	Số lần
匆匆	/cōngcōng/	Vội vã, hối hả
匆忙	/cōngmáng/	Vội vã, hấp tấp
从未	/cóngwèi/	Chưa từng, chưa bao giờ
从业	/cóngyè/	Làm nghề, tham gia ngành
醋	/cù/	Giấm
脆	/cuì/	Giòn, giòn tan
脆弱	/cuìruò/	Mong manh, yếu đuối
村庄	/cūnzhuāng/	Làng quê
存储	/cúnchǔ/	Lưu trữ
寸	/cùn/	Tấc (đơn vị chiều dài Trung Quốc)
挫折	/cuòzhé/	Thất bại, chướng ngại
搭	/dā/	Xây dựng, dựng lên
搭配	/dāpèi/	Phối hợp, kết hợp; phối hợp đẹp
答复	/dáfù/	Trả lời, phúc đáp
打交道	/dǎ jiāodao/	Giao tiếp, tiếp xúc
打动	/dǎdòng/	Lay động, cảm động
打击	/dǎjī/	Đánh, tấn công
打架	/dǎjià/	Đánh nhau
打卡	/dǎkǎ/	Chấm công, quẹt thẻ
打雷	/dǎléi/	Sấm sét, sấm rền
打造	/dǎzào/	Tạo dựng, chế tác
打仗	/dǎzhàng/	Đánh nhau, chiến tranh
大臣	/dàchén/	Quan đại thần
大吃一惊	/dàchī-yìjīng/	Giật mình kinh ngạc
大地	/dàdì/	Đất đai, mặt đất
大都	/dàdū/	Phần lớn, chủ yếu
大方	/dàfang/	Hào phóng, rộng rãi
大幅	/dàfú/	Mạnh mẽ, đáng kể
大伙儿	/dàhuǒr/	Mọi người, cả đám
大使	/dàshǐ/	Đại sứ
大师	/dàshī/	Đại sư, bậc thầy
大洋洲	/Dàyángzhōu/	Châu Đại Dương
大致	/dàzhì/	Khoảng chừng, đại khái
呆	/dāi/	Ngẩn ngơ, đờ đẫn
待	/dài/	Ở lại, chờ đợi
代价	/dàijià/	Giá phải trả, cái giá
贷款	/dàikuǎn/	Vay vốn; khoản vay
代理	/dàilǐ/	Đại diện, làm thay
带领	/dàilǐng/	Lãnh đạo, dẫn dắt
单纯	/dānchún/	Đơn thuần, thuần khiết
单调	/dāndiào/	Đơn điệu, nhàm chán
耽误	/dānwu/	Làm chậm trễ, lỡ việc
担忧	/dānyōu/	Lo lắng, lo ngại
蛋白质	/dànbáizhì/	Chất đạm, protein
诞生	/dànshēng/	Ra đời, ra mắt
当场	/dāngchǎng/	Ngay tại chỗ, lập tức
当初	/dāngchū/	Lúc ban đầu, thuở ấy
当代	/dāngdài/	Thời đại hiện nay
当今	/dāngjīn/	Ngày nay, hiện nay
当面	/dāngmiàn/	Trực tiếp, trước mặt
当下	/dāngxià/	Lúc này, ngay lập tức
当选	/dāngxuǎn/	Được bầu chọn
档案	/dàng’àn/	Hồ sơ, tài liệu lưu trữ
当天	/dàngtiān/	Chính ngày hôm đó
岛	/dǎo/	Đảo
倒闭	/dǎobì/	Phá sản
倒车	/dǎochē/	Lùi xe
导师	/dǎoshī/	Người hướng dẫn, cố vấn
道德	/dàodé/	Đạo đức; có đạo đức
倒是	/dàoshì/	Ngược lại, hóa ra
得了	/déle/	Xong rồi; được (dùng sau động từ)
得以	/déyǐ/	Có thể, nhờ đó mà
得知	/dézhī/	Biết được, hay tin
灯笼	/dēnglong/	Đèn lồng
等级	/děngjí/	Cấp bậc, cấp độ
滴	/dī/	Nhỏ giọt; giọt
低碳	/dītàn/	Thấp carbon
抵达	/dǐdá/	Đến nơi
抵抗	/dǐkàng/	Chống lại, kháng cự
地道	/dìdao/	Chính cống, chuẩn
地方	/dìfāng/	Nơi chốn, địa phương
地形	/dìxíng/	Địa hình
地域	/dìyù/	Vùng miền, khu vực
地质	/dìzhì/	Địa chất
点击	/diǎnjī/	Nhấp chuột, click
典礼	/diǎnlǐ/	Lễ điển, buổi lễ
点燃	/diǎnrán/	Thắp sáng, đốt lên
典型	/diǎnxíng/	Mẫu điển hình; điển hình
电饭锅	/diànfànguō/	Nồi cơm điện
电力	/diànlì/	Điện lực, điện năng
店铺	/diànpù/	Cửa hàng, cửa tiệm
电源	/diànyuán/	Nguồn điện, ổ cắm
吊	/diào/	Treo, treo lơ lửng
调动	/diàodòng/	Điều động, huy động
钓鱼	/diàoyú/	Câu cá
跌	/diē/	Ngã, giảm (giá)
顶	/dǐng/	Đỉnh, chóp; đội trên đầu; đơn vị đếm mũ
订单	/dìngdān/	Đơn hàng
订婚	/dìnghūn/	Đính hôn
定价	/dìngjià/	Định giá; giá niêm yết
定时	/dìngshí/	Đặt giờ; thời gian cố định
定位	/dìngwèi/	Xác định vị trí; định vị
定义	/dìngyì/	Định nghĩa; định nghĩa
定制	/dìngzhì/	Đặt làm theo yêu cầu, tùy chỉnh
栋	/dòng/	Ngôi (đơn vị đếm nhà, tòa nhà)
动机	/dòngjī/	Động cơ, lý do
动力	/dònglì/	Động lực, sức mạnh
动漫	/dòngmàn/	Anime, phim hoạt hình
动态	/dòngtài/	Động thái, xu hướng; động
动听	/dòngtīng/	Hay, dễ nghe
逗	/dòu/	Trêu đùa; vui nhộn
斗争	/dòuzhēng/	Đấu tranh; cuộc đấu tranh
都市	/dūshì/	Đô thị, thành phố lớn
毒	/dú/	Độc tố; đầu độc; độc
渡	/dù/	Vượt sông, vượt qua
端	/duān/	Bưng, cầm
短缺	/duǎnquē/	Thiếu hụt
对称	/duìchèn/	Đối xứng
对接	/duìjiē/	Kết nối, ghép nối
对抗	/duìkàng/	Đối kháng, chống đối
对立	/duìlì/	Đối lập
对应	/duìyìng/	Tương ứng; tương ứng
蹲	/dūn/	Ngồi xổm
顿时	/dùnshí/	Đột nhiên, lập tức
多才多艺	/duōcái-duōyì/	Đa tài, tài năng đa dạng
多亏	/duōkuī/	Nhờ có, may mà
多媒体	/duōméitǐ/	Đa phương tiện
多余	/duōyú/	Thừa thãi; không cần thiết
多元	/duōyuán/	Đa nguyên, đa dạng
夺	/duó/	Cướp, đoạt
夺取	/duóqǔ/	Chiếm lấy, giành lấy
躲避	/duǒbì/	Tránh né, trốn tránh
恶心	/ěxin/	Ghê tởm; buồn nôn
恶劣	/èliè/	Xấu xa, tồi tệ
儿科	/érkē/	Khoa nhi
耳环	/ěrhuán/	Khuyên tai
二氧化碳	/èryǎnghuàtàn/	Khí cacbonic
发病	/fābìng/	Phát bệnh, mắc bệnh
发愁	/fāchóu/	Lo lắng, buồn rầu
发电	/fādiàn/	Phát điện
发动	/fādòng/	Khởi động, phát động
发放	/fāfàng/	Phát, cấp phát
发光	/fāguāng/	Phát sáng
发票	/fāpiào/	Hóa đơn
发行	/fāxíng/	Phát hành, xuất bản
发炎	/fāyán/	Viêm, sưng viêm
发育	/fāyù/	Phát triển, lớn lên
法定	/fǎdìng/	Pháp định, theo luật
法官	/fǎguān/	Thẩm phán
法规	/fǎguī/	Pháp luật, quy định
番	/fān/	Lần, phen (đếm hành động)
繁忙	/fánmáng/	Bận rộn
凡是	/fánshì/	Bất kỳ, tất cả
繁殖	/fánzhí/	Sinh sản, nhân giống
反馈	/fǎnkuì/	Phản hồi
反思	/fǎnsī/	Suy ngẫm, phản tỉnh
犯	/fàn/	Vi phạm, phạm phải
方方面面	/fāngfāngmiànmiàn/	Mọi khía cạnh
方位	/fāngwèi/	Hướng, phương vị
方言	/fāngyán/	Phương ngữ, tiếng địa phương
妨碍	/fáng’ài/	Cản trở, gây trở ngại
房价	/fángjià/	Giá nhà
防治	/fángzhì/	Phòng ngừa và kiểm soát
访谈	/fǎngtán/	Phỏng vấn
放大	/fàngdà/	Phóng to, khuếch đại
放飞	/fàngfēi/	Thả bay tự do
飞速	/fēisù/	Siêu tốc, nhanh như chớp
肥	/féi/	Béo (thịt, động vật)
肥胖	/féipàng/	Béo phì
肥沃	/féiwò/	Màu mỡ, phì nhiêu
肺	/fèi/	Phổi
肺炎	/fèiyán/	Viêm phổi
分工	/fēngōng/	Phân công lao động
分级	/fēnjí/	Phân cấp, phân hạng
分期	/fēnqī/	Trả góp
分散	/fēnsàn/	Phân tán; phân tán
氛围	/fēnwéi/	Không khí, bầu không khí
粉	/fěn/	Bột; màu hồng
愤怒	/fènnù/	Giận dữ
封闭	/fēngbì/	Phong tỏa, đóng kín
风光	/fēngguāng/	Phong cảnh, cảnh đẹp
风力	/fēnglì/	Sức gió
丰收	/fēngshōu/	Thu hoạch bội thu
风雨	/fēngyǔ/	Gió mưa, gian nan
奉献	/fèngxiàn/	Cống hiến, hiến dâng
夫人	/fūrén/	Phu nhân, bà
服	/fú/	Phục tùng; phục vụ (cũng chỉ quần áo)
浮	/fú/	Nổi, trôi
服从	/fúcóng/	Tuân theo, phục tùng
幅度	/fúdù/	Phạm vi, mức độ, biên độ
符号	/fúhào/	Ký hiệu, biểu tượng
福利	/fúlì/	Phúc lợi, lợi ích; cung cấp phúc lợi
服用	/fúyòng/	Uống (thuốc)
辅导	/fǔdǎo/	Hướng dẫn, kèm cặp
辅助	/fǔzhù/	Hỗ trợ, phụ trợ; phụ trợ
副	/fù/	Phó, thứ hai
覆盖	/fùgài/	Phủ kín, bao phủ
附件	/fùjiàn/	Phụ kiện, file đính kèm
负面	/fùmiàn/	Tiêu cực, bất lợi
富裕	/fùyù/	Giàu có; làm giàu
赋予	/fùyǔ/	Ban tặng, trao cho
该	/gāi/	Kia, cái đó, ấy
改编	/gǎibiān/	Biên soạn lại, chuyển thể
改造	/gǎizào/	Cải tạo, cải biến
概率	/gàilǜ/	Xác suất
肝	/gān/	Gan
干脆	/gāncuì/	Dứt khoát, thẳng thắn; đơn giản là
尴尬	/gāngà/	Lúng túng, ngượng ngùng
干旱	/gānhàn/	Hạn hán, khô hạn
干扰	/gānrǎo/	Quấy rầy, can thiệp
干燥	/gānzào/	Khô, khô ráo
感激	/gǎnjī/	Biết ơn, cảm kích
赶忙	/gǎnmáng/	Vội vã, hấp tấp
感染	/gǎnrǎn/	Lây nhiễm, ảnh hưởng
感想	/gǎnxiǎng/	Cảm nghĩ, ấn tượng
钢笔	/gāngbǐ/	Bút mực
港口	/gǎngkǒu/	Cảng
岗位	/gǎngwèi/	Vị trí công việc, chốt
高层	/gāocéng/	Cấp cao, thượng tầng; cao cấp
高超	/gāochāo/	Xuất sắc, siêu hạng
高等	/gāoděng/	Cao cấp, đại học
高端	/gāoduān/	Cao cấp; sản phẩm cao cấp
高峰	/gāofēng/	Đỉnh cao, cao điểm
高尚	/gāoshàng/	Cao thượng, cao đẹp
高手	/gāoshǒu/	Cao thủ, bậc thầy
高新技术	/gāoxīn-jìshù/	Công nghệ cao và mới
高原	/gāoyuán/	Cao nguyên
稿件	/gǎojiàn/	Bản thảo, bài viết
稿子	/gǎozi/	Bản nháp, bản thảo
割	/gē/	Cắt, xén
歌唱	/gēchàng/	Ca hát
隔壁	/gébì/	Nhà bên cạnh, hàng xóm
革命	/gémìng/	Cách mạng; cách mạng
个体	/gètǐ/	Cá nhân, thể cá nhân
给予	/jǐyǔ/	Ban cho, trao cho
跟前	/gēnqián/	Trước mặt, gần bên
跟随	/gēnsuí/	Theo sau, đi theo
跟踪	/gēnzōng/	Theo dõi, truy vết
公	/gōng/	Công cộng, công bằng
宫	/gōng/	Cung điện, cung
公安	/gōng’ān/	Công an, an ninh công cộng
工地	/gōngdì/	Công trường
工夫	/gōngfu/	Công phu, thời gian, kỹ năng
公告	/gōnggào/	Thông báo; công bố
供给	/gōngjǐ/	Cung cấp
攻击	/gōngjī/	Tấn công
公开	/gōngkāi/	Công khai; công khai hóa
公民	/gōngmín/	Công dân
公认	/gōngrèn/	Được công nhận chung
功效	/gōngxiào/	Công hiệu, tác dụng
工序	/gōngxù/	Công đoạn, quy trình
公益	/gōngyì/	Công ích, từ thiện
供应	/gōngyìng/	Cung ứng, cung cấp
公元	/gōngyuán/	Công nguyên (A.D.)
公正	/gōngzhèng/	Công bằng, chính trực
公众	/gōngzhòng/	Công chúng, dư luận
公主	/gōngzhǔ/	Công chúa
巩固	/gǒnggù/	Củng cố; vững chắc
共计	/gòngjì/	Tổng cộng
沟	/gōu/	Rãnh, mương
构造	/gòuzào/	Cấu tạo, xây dựng
孤独	/gūdú/	Cô đơn
姑姑	/gūgu/	Cô (chị/em gái của bố)
古典	/gǔdiǎn/	Cổ điển
古迹	/gǔjì/	Di tích cổ
股票	/gǔpiào/	Cổ phiếu
古人	/gǔrén/	Người xưa
股市	/gǔshì/	Thị trường chứng khoán
骨头	/gǔtou/	Xương
鼓舞	/gǔwǔ/	Khích lệ; khích lệ
顾	/gù/	Quan tâm, chăm sóc
固体	/gùtǐ/	Thể rắn
顾问	/gùwèn/	Cố vấn
故障	/gùzhàng/	Sự cố, hỏng hóc
拐	/guǎi/	Rẽ, quẹo; khập khiễng
拐弯	/guǎiwān/	Quẹo, rẽ
官	/guān/	Quan chức
关爱	/guān’ài/	Quan tâm, yêu thương
官方	/guānfāng/	Chính thức, nhà nước
观光	/guānguāng/	Du lịch, tham quan
关怀	/guānhuái/	Quan tâm, chăm sóc
关联	/guānlián/	Liên quan, liên kết
观赏	/guānshǎng/	Ngắm nhìn, thưởng ngoạn
官员	/guānyuán/	Quan chức
管道	/guǎndào/	Ống dẫn, đường ống
罐	/guàn/	Lon, hũ
广阔	/guǎngkuò/	Rộng lớn, bao la
归	/guī/	Trở về; theo
规范	/guīfàn/	Quy phạm, tiêu chuẩn; chuẩn mực; chuẩn hóa
规划	/guīhuà/	Kế hoạch; lập kế hoạch
归还	/guīhuán/	Trả lại, hoàn trả
规矩	/guīju/	Quy tắc, phong tục; ngoan ngoãn
轨道	/guǐdào/	Đường ray, quỹ đạo
跪	/guì/	Quỳ
贵重	/guìzhòng/	Quý giá, đắt giá
棍	/gùn/	Gậy, que
国宝	/guóbǎo/	Bảo vật quốc gia
国产	/guóchǎn/	Hàng nội địa, sản xuất trong nước
国歌	/guógē/	Quốc ca
国旗	/guóqí/	Quốc kỳ
国情	/guóqíng/	Tình hình quốc gia, quốc tình
国王	/guówáng/	Quốc vương
过渡	/guòdù/	Chuyển tiếp
过后	/guòhòu/	Sau đó, sau khi
过时	/guòshí/	Lỗi thời; cũ kỹ
海内外	/hǎi nèiwài/	Trong và ngoài nước
海岸	/hǎi’àn/	Bờ biển
海拔	/hǎibá/	Độ cao so với mực nước biển
海面	/hǎimiàn/	Mặt biển
海域	/hǎiyù/	Vùng biển
害	/hài/	Hại; gây hại
寒冬	/hándōng/	Mùa đông giá lạnh
含义	/hányì/	Ý nghĩa, hàm ý
罕见	/hǎnjiàn/	Hiếm thấy
旱灾	/hànzāi/	Hạn hán
航空	/hángkōng/	Hàng không
毫不	/háobù/	Hoàn toàn không
毫无	/háowú/	Không hề có
毫米	/háomǐ/	Milimét
毫升	/háoshēng/	Mililít
好不	/hǎobù/	Rất, thật sự
好感	/hǎogǎn/	Cảm tình tốt
好容易	/hǎoróngyì/	Khó khăn lắm mới
好客	/hàokè/	Hiếu khách
好学	/hàoxué/	Hiếu học
号召	/hàozhào/	Kêu gọi
合并	/hébìng/	Sáp nhập, hợp nhất
合成	/héchéng/	Tổng hợp, chế tạo
和平	/hépíng/	Hòa bình
和谐	/héxié/	Hài hòa
核心	/héxīn/	Cốt lõi, hạt nhân
嘿	/hēi/	Này, ê
黑暗	/hēi’àn/	Tối tăm, đen tối
痕迹	/hénjì/	Dấu vết
狠	/hěn/	Hung ác; làm cứng lòng; hung hãn
恨	/hèn/	Ghét, hận
横	/héng/	Ngang; đi ngang; đường ngang
衡量	/héngliáng/	Đo lường, cân nhắc
宏大	/hóngdà/	Hoành tráng, vĩ đại
洪水	/hóngshuǐ/	Lũ lụt
后代	/hòudài/	Hậu duệ, thế hệ sau
后期	/hòuqī/	Giai đoạn sau
后人	/hòurén/	Người đời sau
后退	/hòutuì/	Lùi lại, thoái lui
后者	/hòuzhě/	Người/vật sau
忽略	/hūlüè/	Bỏ qua, coi nhẹ
壶	/hú/	Ấm, bình
胡子	/húzi/	Râu, ria
户	/hù/	Hộ (đơn vị đếm hộ gia đình)
互助	/hùzhù/	Tương trợ lẫn nhau
花朵	/huāduǒ/	Hoa, bông hoa
花生	/huāshēng/	Đậu phộng, lạc
滑冰	/huábīng/	Trượt băng
滑行	/huáxíng/	Trượt, lướt
滑雪	/huáxuě/	Trượt tuyết
划	/huá/	Chèo (thuyền)
划分	/huàfēn/	Phân chia
化石	/huàshí/	Hóa thạch
话筒	/huàtǒng/	Micro
化妆	/huàzhuāng/	Trang điểm
怀	/huái/	Lòng ngực; ôm ấp, mang trong lòng
怀念	/huáiniàn/	Nhớ nhung, hoài niệm
怀孕	/huáiyùn/	Có thai
欢乐	/huānlè/	Vui vẻ, hoan hỉ
环	/huán/	Vòng, khuyên; đơn vị đếm vòng; bao quanh
还原	/huányuán/	Khôi phục lại trạng thái ban đầu
患	/huàn/	Mắc phải, bị
幻想	/huànxiǎng/	Ảo tưởng; mơ mộng
患者	/huànzhě/	Bệnh nhân
黄	/huáng/	Màu vàng
皇帝	/huángdì/	Hoàng đế
灰尘	/huīchén/	Bụi bặm
灰心	/huīxīn/	Nản lòng
