爸爸爱妈妈。	/Bàba ài māmā/	Ba yêu mẹ.
这是我的书。	/Zhè shì wǒ de shū/	Đây là sách của tôi.
我在等她的电话。	/Wǒ zài děng tā de diànhuà/	Tôi đang đợi cuộc gọi của cô ấy.
地球上有许多不同的生物。	/Dìqiú shàng yǒu xǔduō bùtóng de shēngwù/	Trên Trái Đất có rất nhiều sinh vật khác nhau.
会议的地点已经确定了。	/Huìyì de dìdiǎn yǐjīng quèdìng le/	Địa điểm cuộc họp đã được xác định.
他是这个地方的人。	/Tā shì zhège dìfāng de rén/	Anh ấy là người bản địa.
地上有很多树叶。	/Dìshàng yǒu hěnduō shùyè/	Dưới đất có rất nhiều lá cây.
这是世界地图。	/Zhè shì shìjiè dìtú/	Đây là bản đồ thế giới.
我有一个弟弟。	/Wǒ yǒu yīgè dìdi/	Tôi có một người em trai.
这是第一个问题。	/Zhè shì dì yī gè wèntí/	Đây là câu hỏi đầu tiên.
我们去那个点看看。	/Wǒmen qù nàgè diǎn kàn kàn/	Chúng ta đi đến chỗ đó xem thử.
我的手机没电了。	/Wǒ de shǒujī méi diàn le/	Điện thoại tôi hết pin rồi.
他正在打电话。	/Tā zhèngzài dǎ diànhuà/	Anh ấy đang gọi điện thoại.
这个电脑非常贵。	/Zhège diànnǎo fēicháng guì/	Máy tính này rất đắt.
爸爸在看电视。	/Bàba zài kàn diànshì/	Bố đang xem tivi.
昨天我们看了一部电影。	/Zuótiān wǒmen kàn le yī bù diànyǐng/	Hôm qua chúng tôi đã xem một bộ phim.
我们去电影院看电影。	/Wǒmen qù diànyǐngyuàn kàn diànyǐng/	Chúng tôi đi rạp chiếu phim để xem phim.
学校在东边。	/Xuéxiào zài dōngbian/	Trường học ở phía Đông.
吃东西的时候不要说话。	/Chī dōngxi de shíhòu bùyào shuōhuà/	Không nên nói chuyện khi đang ăn.
她的眼睛动了一下。	/Tā de yǎnjīng dòng le yīxià/	Mắt của cô ấy nhúc nhích một cái.
舞蹈的动作很优美。	/Wǔdǎo de dòngzuò hěn yōuměi/	Động tác của điệu nhảy rất đẹp.
我们都很忙。	/Wǒmen dōu hěn máng/	Chúng tôi đều rất bận.
我正在读书。	/Wǒ zhèngzài dú shū/	Tôi đang đọc sách.
他很努力读书。	/Tā hěn nǔ lì dú shū/	Anh ấy rất chăm chỉ học bài.
你的答案是对的。	/Nǐ de dá'àn shì duì de/	Câu trả lời của bạn là đúng.
对不起，我迟到了。	/Duìbuqǐ, wǒ chídào le/	Xin lỗi, tôi đã đến muộn.
今天的作业不太多。	/Jīntiān de zuòyè bù tài duō/	Bài tập hôm nay không nhiều lắm.
今天的水果多了一些。	/Jīntiān de shuǐguǒ duōle yīxiē/	Hôm nay, trái cây còn dư một ít.
这个多少钱？	/Zhège duōshǎo qián?/	Cái này bao nhiêu tiền?
我现在很饿。	/Wǒ xiànzài hěn è/	Bây giờ tôi rất đói.
我有一个儿子。	/Wǒ yǒu yí gè érzi/	Tôi có một cậu con trai.
我们班有二十人。	/Wǒmen bān yǒu èrshí rén/	Lớp chúng ta có 20 người.
这家饭店的菜很好吃。	/Zhè jiā fàndiàn de cài hěn hǎochī/	Đồ ăn của nhà hàng này rất ngon.
这是我的房间。	/Zhè shì wǒ de fángjiān/	Đây là phòng của tôi.
他们买了一套新房子。	/Tāmen mǎi le yī tào xīn fángzi/	Họ đã mua một căn nhà mới.
请把书放在桌子上。	/Qǐng bǎ shū fàng zài zhuōzi shàng/	Vui lòng đặt quyển sách lên bàn.
放假了，我们一起去玩吧。	/Fàngjià le, wǒmen yīqǐ qù wán ba/	Nghỉ lễ rồi, chúng ta cùng đi chơi nhé.
我们下午四点半放学。	/Wǒmen xiàwǔ sì diǎn bàn fàngxué/	Chúng tôi tan học lúc 4 giờ 30 chiều.
小鸟在天上飞得很快。	/Xiǎo niǎo zài tiān shàng fēi de hěn kuài/	Con chim nhỏ bay rất nhanh trên trời.
我第一次坐飞机时特别开心。	/Wǒ dì yī cì zuò fēijī shí tèbié kāixīn/	Lần đầu tiên tôi đi máy bay, tôi rất vui mừng.
这个地方非常漂亮。	/Zhège dìfāng fēicháng piàoliang/	Nơi này cực kỳ đẹp.
这次考试我考了100分。	/Zhè cì kǎoshì wǒ kǎole 100 fēn/	Kỳ thi lần này tôi thi được 100 điểm.
今天的风很大，不要出去。	/Jīntiān de fēng hěn dà, bù yào chūqù/	Hôm nay gió lớn, đừng ra ngoài.
这件衣服干了，可以穿了。	/Zhè jiàn yīfu gān le, kěyǐ chuān le/	Quần áo này khô rồi, có thể mặc rồi.
你的房间很干净。	/Nǐ de fángjiān hěn gānjìng/	Phòng của bạn rất sạch sẽ.
你干什么不早说呀?	/Nǐ gànshénme bù zǎo shuō ya/	Tại sao bạn không nói sớm?
你比我高一点儿。	/Nǐ bǐ wǒ gāo yìdiǎnr/	Bạn cao hơn tôi một chút.
今天我很高兴。	/Jīntiān wǒ hěn gāoxìng/	Hôm nay tôi rất vui.
妈妈告诉我早点回家。	/Māma gàosu wǒ zǎodiǎn huíjiā/	Mẹ bảo tôi về nhà sớm.
我的哥哥比我大五岁。	/Wǒ de gēge bǐ wǒ dà wǔ suì/	Anh trai tôi lớn hơn tôi năm tuổi.
这首歌很好听。	/Zhè shǒu gē hěn hǎotīng/	Bài hát này rất hay.
我买了一个新手机。	/Wǒ mǎi le yī gè xīn shǒujī/	Tôi đã mua một chiếc điện thoại mới.
妈妈给我买了一本书。	/Māma gěi wǒ mǎi le yī běn shū/	Mẹ đã mua cho tôi một quyển sách.
我跟朋友一起去旅行。	/Wǒ gēn péngyǒu yīqǐ qù lǚxíng/	Tôi đi du lịch cùng bạn bè.
工人们每天都努力工作。	/Gōngrénmen měitiān dōu nǔlì gōngzuò/	Những công nhân làm việc chăm chỉ mỗi ngày.
他的工作非常忙。	/Tā de gōngzuò fēicháng máng/	Công việc của anh ấy rất bận.
睡觉前别忘了关灯。	/Shuìjiào qián bié wàngle guān dēng/	Trước khi ngủ đừng quên tắt đèn.
请关上门，谢谢你！	/Qǐng guānshàng mén, xièxiè nǐ/	Hãy đóng cửa lại, cảm ơn bạn.
这件衣服太贵了。	/Zhè jiàn yīfu tài guì le/	Bộ quần áo này quá đắt!
中国的美食非常有名。	/Zhōngguó de měishí fēicháng yǒumíng/	Ẩm thực của Trung Quốc rất nổi tiếng.
我爱我的国家。	/Wǒ ài wǒ de guójiā/	Tôi yêu đất nước của tôi.
他在国外上大学。	/Tā zài guówài shàng dàxué/	Anh ấy học đại học ở nước ngoài.
我去过中国三次。	/Wǒ qù guò Zhōngguó sān cì/	Tôi đã đến Trung Quốc ba lần.
他有一个哥哥，还有一个妹妹。	/Tā yǒu yī gè gēge, hái yǒu yī gè mèimei/	Cậu ấy có một anh trai, còn có một em gái nữa.
你想喝茶还是咖啡？	/Nǐ xiǎng hē chá háishì kāfēi?/	Bạn muốn uống trà hay cà phê?
我家里还有两只猫。	/Wǒ jiālǐ hái yǒu liǎng zhī māo/	Nhà tôi còn có hai con mèo.
孩子们在公园玩儿。	/Háizimen zài gōngyuán wánr/	Mấy đứa trẻ đang chơi trong công viên.
他的汉语说得很好。	/Tā de Hànyǔ shuō de hěn hăo/	Anh ấy nói tiếng Trung rất giỏi.
我会写汉字。	/Wǒ huì xiě Hànzì/	Tôi biết viết chữ Hán.
你身体好吗？	/Nǐ shēntǐ hǎo ma/	Bạn có khỏe không?
这家餐厅的菜非常好吃。	/Zhè jiā cāntīng de cài fēicháng hǎochī/	Món ăn của nhà hàng này rất ngon.
这本书很好看，我喜欢。	/Zhè běn shū hěn hǎokàn, wǒ xǐhuān/	Cuốn sách này rất hay, tôi thích.
这首歌很好听。	/Zhè shǒu gē hěn hǎotīng/	Bài hát này rất hay.
这个游戏很好玩儿。	/Zhège yóuxì hěn hǎowánr/	Trò chơi này rất vui.
你的房间号是多少？	/Nǐ de fángjiān hào shì duōshǎo/	Số phòng của bạn là bao nhiêu?
我每天早上都喝咖啡。	/Wǒ měitiān zǎoshang dōu hē kāfēi/	Mỗi sáng tôi đều uống cà phê.
我买了一本书和一件衣服。	/Wǒ mǎile yī běn shū hé yī jiàn yīfú/	Tôi đã mua 1 cuốn sách và 1 bộ quần áo.
我和他一起去公园散步。	/Wǒ hé tā yīqǐ qù gōngyuán sànbù/	Tôi đi dạo với cậu ấy trong công viên.
今天的课文很长， 生词很多。	/Jīntiān de kèwén hěn cháng, shēngcí hěnduō/	Hôm nay bài khoá rất dài, nên từ mới rất nhiều.
书店在学校的后边。	/Shūdiàn zài xuéxiào de hòubian/	Hiệu sách ở phía sau trường học.
我们后天去北京。	/Wǒmen hòutiān qù Běijīng/	Chúng tôi sẽ đi Bắc Kinh vào ngày kia.
花园里有很多花。	/Huāyuán lǐ yǒu hěn duō huā/	Trong vườn có rất nhiều hoa.
她的话让我很高兴。	/Tā de huà ràng wǒ hěn gāoxìng/	Lời của cô ấy làm tôi rất vui.
我的手机坏了，不能用。	/Wǒ de shǒujī huài le, bù néng yòng/	Điện thoại của tôi bị hỏng, không thể dùng.
她明天把书还给图书馆。	/Tā míngtiān bǎ shū huán gěi túshū guǎn/	Ngày mai cô ấy sẽ đem sách trả lại cho thư viện
我每天六点回家。	/Wǒ měitiān liù diǎn huí jiā/	Tôi về nhà lúc 6 giờ mỗi ngày.
请回答我的问题。	/Qǐng huídá wǒ de wèntí/	Hãy trả lời câu hỏi của tôi.
他回到家了。	/Tā huídào jiā le/	Anh ấy đã về đến nhà rồi.
朋友们都回家了。	/Péngyǒumen dōu huí jiā le/	Các bạn tôi đều đã về nhà rồi.
他晚上七点回来。	/Tā wǎnshàng qī diǎn huí lái/	Anh ấy sẽ quay lại lúc 7 giờ tối.
我们早点回去吧。	/Wǒmen zǎodiǎn huí qù ba/	Chúng ta về sớm một chút đi.
你会做中国菜吗？	/Nǐ huì zuò zhōngguó cài ma/	Bạn biết nấu món Trung Quốc không?
我坐火车去北京。	/Wǒ zuò huǒchē qù Běijīng/	Tôi đi Bắc Kinh bằng tàu hỏa.
他去机场接朋友。	/Tā qù jīchǎng jiē péngyǒu/	Anh ấy đến sân bay đón bạn.
你买机票了吗？	/Nǐ mǎi jīpiào le ma/	Bạn đã mua vé máy bay chưa?
我买了一些鸡蛋。	/Wǒ mǎi le yīxiē jīdàn/	Tôi đã mua một vài quả trứng.
你有几个兄弟姐妹？	/Nǐ yǒu jǐ gè xiōngdì jiěmèi/	Bạn có mấy anh chị em?
我记不住这个汉字。	/Wǒ jì bù zhù zhège hànzì/	Tôi không nhớ được chữ Hán này.
你还记得他的生日吗？	/Nǐ hái jìdé tā de shēngrì ma/	Bạn còn nhớ sinh nhật của anh ấy không?
请记住这个电话号码。	/Qǐng jìzhù zhège diànhuà hàomǎ/	Hãy nhớ số điện thoại này.
我家在上海。	/Wǒ jiā zài Shànghǎi/	Nhà tôi ở Thượng Hải.
我家里有很多书。	/Wǒ jiālǐ yǒu hěn duō shū/	Trong nhà tôi có rất nhiều sách.
我家人都喜欢吃中国菜。	/Wǒ jiārén dōu xǐhuan chī Zhōngguó cài/	Cả nhà tôi đều thích ăn đồ ăn Trung Quốc.
他们之间的感情很好。	/Tāmen zhījiān de gǎnqíng hěn hǎo/	Tình cảm giữa họ rất tốt.
我家有三间卧室。	/Wǒjiā yǒu sān jiān wòshì/	Nhà tôi có 3 phòng ngủ.
我在公园见到朋友。	/Wǒ zài gōngyuán jiàn dào péngyǒu/	Tôi gặp bạn ở công viên.
我很高兴和你见面。	/Wǒ hěn gāoxìng hé nǐ jiànmiàn/	Tôi rất vui khi gặp bạn.
她教我们英语。	/Tā jiāo wǒmen Yīngyǔ/	Cô ấy dạy chúng tôi tiếng Anh.
妈妈叫我回家。	/Māmā jiào wǒ huí jiā/	Mẹ gọi tôi về nhà.
教学楼在图书馆东边。	/Jiàoxué lóu zài túshū guǎn dōngbian/	Tòa nhà giảng dạy nằm ở phía đông của thư viện.
她是我的姐姐。	/Tā shì wǒ de jiějie/	Cô ấy là chị gái tôi.
我来介绍一下我的朋友。	/Wǒ lái jièshào yīxià wǒ de péngyou/	Tôi giới thiệu chút về bạn của tôi.
今年是2025年。	/Jīnnián shì 2025 nián/	Năm nay là năm 2025.
今天的天气很好。	/Jīntiān de tiānqì hěn hǎo/	Thời tiết hôm nay rất đẹp.
请进！	/Qǐng jìn/	Xin mời vào!
他刚刚进来了。	/Tā gānggāng jìn lái le/	Anh ấy vừa mới vào.
你先进去，我马上来。	/Nǐ xiān jìn qù, wǒ mǎshàng lái/	Bạn vào trước đi, tôi đến ngay.
这个班有九个学生。	/Zhège bān yǒu jiǔ gè xuéshēng/	Lớp này có chín học sinh.
他下班后就回家了。	/Tā xiàbān hòu jiù huíjiā le/	Anh ấy tan làm liền về nhà.
我觉得这本书很好看。	/Wǒ juéde zhè běn shū hěn hǎokàn/	Tôi cảm thấy cuốn sách này rất hay.
他正在学开车。	/Tā zhèngzài xué kāichē/	Anh ấy đang học lái xe.
我下午三点要开会。	/Wǒ xiàwǔ sān diǎn yào kāi huì/	Tôi có cuộc họp lúc 3 giờ chiều.
别生气，我只是开玩笑。	/Bié shēngqì, wǒ zhǐshì kāi wánxiào/	Đừng giận mà, tôi chỉ đùa thôi.
这本书我看完了。	/Zhè běn shū wǒ kànwán le/	Tôi đã đọc xong cuốn sách này.
我今天去医院看病。	/Wǒ jīntiān qù yīyuàn kàn bìng/	Hôm nay tôi đi bệnh viện khám bệnh.
我在街上看到一只小猫。	/Wǒ zài jiē shàng kàndào yī zhī xiǎo māo/	Tôi nhìn thấy một con mèo nhỏ trên đường.
我看见一只小鸟在树上唱歌。	/Wǒ kànjiàn yī zhī xiǎo niǎo zài shù shàng chànggē/	Tôi nhìn thấy một con chim đang hót trên cây.
这次考试很难。	/Zhè cì kǎoshì hěn nán/	Kỳ thi lần này rất khó.
我口渴了，想喝水。	/Wǒ kǒu kě le, xiǎng hē shuǐ/	Tôi khát nước rồi, muốn uống nước.
今天的汉语课很有意思。	/Jīntiān de Hànyǔ kè hěn yǒuyìsi/	Bài học tiếng Trung hôm nay rất thú vị.
你带课本了吗？	/Nǐ dài kèběn le ma/	Bạn có mang sách giáo khoa không?
请大家朗读课文。	/Qǐng dàjiā lǎngdú kèwén/	Mọi người vui lòng đọc to bài khóa.
火车快要来了。	/Huǒchē kuài yào lái le/	Tàu hỏa sắp đến rồi.
我喜欢吃糖块儿。	/Wǒ xǐhuan chī táng kuàir/	Tôi thích ăn kẹo viên.
你什么时候来我家?	/Nǐ shénme shíhòu lái wǒ jiā/	Khi nào bạn đến nhà tôi?
他来到公司了。	/Tā láidào gōngsī le/	Anh ấy đến công ty rồi.
这辆车太老了。	/Zhè liàng chē tài lǎo le/	Chiếc xe này quá cũ rồi.
老人喜欢在公园散步。	/Lǎorén xǐhuan zài gōngyuán sànbù/	Các cụ già thích đi dạo trong công viên.
她是我们的汉语老师。	/Tā shì wǒmen de Hànyǔ lǎoshī/	Cô ấy là giáo viên tiếng Trung của chúng tôi.
我吃了一个苹果。	/Wǒ chī le yīgè píngguǒ/	Tôi đã ăn một quả táo.
今天工作很累。	/Jīntiān gōngzuò hěn lèi/	Hôm nay công việc rất mệt.
外面很冷，多穿点衣服。	/Wàimiàn hěn lěng, duō chuān diǎn yīfu/	Bên ngoài rất lạnh, mặc thêm áo vào.
房间里有很多书。	/Fángjiān lǐ yǒu hěn duō shū/	Trong phòng có rất nhiều sách.
你在里边等我。	/Nǐ zài lǐbiān děng wǒ/	Bạn đợi tôi ở bên trong nhé.
我有两个姐姐。	/Wǒ yǒu liǎng gè jiějie/	Tôi có hai chị gái.
这个数字是零。	/Zhège shùzì shì líng/	Số này là số không.
我家有六口人。	/Wǒ jiā yǒu liù kǒu rén/	Nhà tôi có sáu người.
他们住在五楼。	/Tāmen zhù zài wǔ lóu/	Họ sống ở tầng năm.
我哥哥在楼上睡觉。	/Wǒ gēge zài lóu shàng shuìjiào/	Anh trai tôi đang ngủ trên tầng.
我在楼下等你。	/Wǒ zài lóu xià děng nǐ/	Tôi đang đợi bạn ở tầng dưới.
这条路很长。	/Zhè tiáo lù hěn cháng/	Con đường này rất dài.
这个路口有很多车。	/Zhège lùkǒu yǒu hěn duō chē/	Ngã tư này có rất nhiều xe.
我在路上，看见了你。	/Wǒ zài lùshàng, kànjiàn le nǐ/	Tôi trên đường, nhìn thấy bạn.
我妈妈做饭很好吃。	/Wǒ māma zuò fàn hěn hǎo chī/	Mẹ tôi nấu ăn rất ngon.
这个马路很长。	/Zhège mǎlù hěn cháng/	Con đường này rất dài.
我马上回来。	/Wǒ mǎshàng huílái/	Tôi sẽ quay lại ngay lập tức.
你喜欢中国菜吗？	/Nǐ xǐhuan Zhōngguó cài ma/	Bạn có thích món ăn Trung Quốc không?
我想买一件衣服。	/Wǒ xiǎng mǎi yí jiàn yīfu/	Tôi muốn mua một cái áo.
请说慢一点儿。	/Qǐng shuō màn yìdiǎnr/	Xin hãy nói chậm một chút.
他最近很忙。	/Tā zuìjìn hěn máng/	Dạo này anh ấy rất bận.
小狗的毛很软。	/Xiǎogǒu de máo hěn ruǎn/	Lông của chú chó con rất mềm.
我口袋里有一毛钱。	/Wǒ kǒudài lǐ yǒuyī máo qián/	Trong túi tôi có một hào.
我今天没时间。	/Wǒ jīntiān méi shíjiān/	Hôm nay tôi không có thời gian (không rảnh).
没关系，我没生气。	/Méiguānxi, wǒ méi shēngqì/	Không sao, tôi không giận đâu.
没什么好担心的。	/Méi shénme hǎo dānxīn de/	Không có gì đáng lo lắng cả.
没事儿，我帮你。	/Méi shìr, wǒ bāng nǐ/	Không sao đâu, tôi giúp bạn.
我没有钱。	/Wǒ méiyǒu qián/	Tôi không có tiền.
我有一个妹妹。	/Wǒ yǒu yīgè mèimei/	Tôi có một người em gái.
我把门关上了。	/Wǒ bǎ mén guānshàng le/	Tôi đã đóng cửa lại.
我在门口等你。	/Wǒ zài ménkǒu děng nǐ/	Tôi đang đợi bạn ở cửa ra vào.
这张门票多少钱？	/Zhè zhāng ménpiào duōshǎo qián/	
我们是好朋友。	/Wǒmen shì hǎo péngyǒu/	Chúng tôi là bạn tốt.
我每天都吃米饭。	/Wǒ měitiān dōu chī mǐfàn/	Ngày nào tôi cũng ăn cơm.
你想吃面包吗？	/Nǐ xiǎng chī miànbāo ma/	Bạn có muốn ăn bánh mì không?
这碗面条儿很好吃。	/Zhè wǎn miàntiáor hěn hǎochī/	Tô mì này rất ngon.
你的名字是什么？	/Nǐ de míngzi shì shénme/	Tên của bạn là gì?
我明白你的意思。	/Wǒ míngbai nǐ de yìsi/	Tôi hiểu ý của bạn.
明年我想去中国。	/Míngnián wǒ xiǎng qù Zhōngguó/	Năm sau tôi muốn đi Trung Quốc.
明天是星期几？	/Míngtiān shì xīngqī jǐ/	Ngày mai là thứ mấy?
请帮我拿一下。	/Qǐng bāng wǒ ná yíxià/	Làm ơn giúp tôi cầm cái này một chút.
你喜欢哪本书？	/Nǐ xǐhuān nǎ běn shū/	Bạn thích quyển sách nào?
你住在哪里？	/Nǐ zhù zài nǎlǐ/	Bạn sống ở đâu?
那部电影是在哪儿拍的？	/Nà bù diànyǐng shì zài nǎr pāi de/	Bộ phim đó được quay ở đâu vậy?
你见过哪些名人？	/Nǐ jiànguò nǎxiē míngrén/	Bạn đã gặp những người nổi tiếng nào?
那是我的书。	/Nà shì wǒ de shū/	Đó là sách của tôi.
你看到那边的猫了吗？	/Nǐ kàn dào nà bian de māo le ma/	Bạn có thấy con mèo bên đó không?
我刚从那里回来。	/Wǒ gāng cóng nàlǐ húilái/	Tôi vừa từ chỗ đó trở về.
你要去那儿做什么？	/Nǐ yào qù nàr zuò shénme/	Bạn muốn đến đó làm gì?
那些书都送给你吧。	/Nàxiē shū dōu sòng gěi nǐ ba/	Những cuốn sách này đều cho cậu.
我奶奶今年八十岁。	/Wǒ nǎinai jīnnián bāshí suì/	Bà nội tôi năm nay 80 tuổi.
我们班有很多男同学。	/Wǒmen bān yǒu hěnduō nán tóngxué/	Lớp chúng tôi có rất nhiều bạn học sinh nam.
男孩儿在公园里踢足球。	/Nánháir zài gōngyuán lǐ tī zúqiú/	Cậu bé đang đá bóng trong công viên.
她的男朋友很帅。	/Tā de nánpéngyou hěn shuài/	Bạn trai của cô ấy rất đẹp trai.
那个男人在看手机。	/Nàgè nánrén zài kàn shǒujī/	Người đàn ông đó đang xem điện thoại.
这个班的男生比女生多。	/Zhège bān de nánshēng bǐ nǚshēng duō/	Nam sinh trong lớp này nhiều hơn nữ sinh.
我喜欢南方的美食。	/Wǒ xǐhuan nánfāng de měishí/	Tôi thích ẩm thực miền Nam.
我家在学校南边。	/Wǒ jiā zài xuéxiào nánbiān/	Nhà tôi ở phía nam của trường.
这个问题很难回答。	/Zhège wèntí hěn nán huídá/	Câu hỏi này rất khó trả lời.
我是学生，你呢？	/Wǒ shì xuéshēng, nǐ ne/	Tớ là học sinh, còn cậu thì sao?
咱们一定能完成任务。	/Zánmen yídìng néng wánchéng rènwù/	Chúng ta nhất định có thể hoàn thành nhiệm vụ.
