
疵 | cī | flaw, fault, defect; disease
诃 | hē | scold loudly, curse, abuse
裔 | yì | progeny, descendants, posterity
梓 | zǐ | catalpa ovata
蓦 | mò | suddenly, quickly, abruptly
岩 | yán | cliff; rocks; mountain
帜 | zhì | flag, pennant; sign; fasten
瓣 | bàn | petal; segment; valves
狡 | jiǎo | cunning, deceitful, treacherous
惕 | tì | be cautious, careful, alert
蒙 | méng | cover; ignorant; suffer; mongolia
怯 | qiè | lacking in courage, afraid
嫩 | nèn | soft, tender, delicate; young
龚 | gōng | give, present; reverential
嚎 | háo | cry loudly, yell, scream
豚 | tún | small pig, suckling pig; suffle
埠 | bù | port city
暸 | liáo | bright, clear
唆 | suō | make mischief, incite, instigate
妃 | fēi | wife, spouse; imperial concubine
瓢 | piáo | ladle made from dried gourd
蹄 | tí | hoof; leg of pork; little witch
厮 | sī | servant
讥 | jī | ridicule, jeer, mock; inspect
啃 | kěn | gnaw, chew, bite
琶 | pá | guitar-like instrument
愿 | yuàn | desire, want; wish; ambition
噱 | jué | laugh heartily, laugh aloud
狷 | juàn | rash, impetuous, impulsive
搪 | táng | ward off, evade; parry; block
氢 | qīng | amonia; hydrogen nitride
橙 | chéng | orange
咆 | páo | roar
靡 | mǐ | divide, disperse, scatter
砌 | qì | stone steps, brick walk
筷 | kuài | chopsticks
兑 | duì | cash; exchange, barter; weight
溼 | shī | damp, moist; dampness, moisture
呸 | pēi | expression of reprimand
镀 | dù | plate, coat, gild
踹 | chuài | trample, tread on, kick; to crush
冢 | zhǒng | burial mound, mausoleum; grand
祟 | suì | evil spirit; evil influence
懈 | xiè | idle, relaxed, remiss
术 | shù | art, skill, special feat; method, technique
搓 | cuō | to rub or roll between the hands
攸 | yōu | distant, far; adverbial prefix
橡 | xiàng | chestnut oak; rubber tree; rubber
膛 | táng | chest; hollow space, cavity
俞 | yú | surname; consent, approve
祉 | zhǐ | happiness, blessings, good luck
冀 | jì | hope for; wish; Hebei province
炊 | chuī | cook; meal
瓷 | cí | crockery, porcelain, chinaware
遐 | xiá | afar, distant; old, advanced in
揽 | lǎn | grasp, take hold of; monopolize
鹭 | lù | heron, egret; Ardea species (various)
茄 | qié | eggplant
蜢 | měng | grasshopper
塘 | táng | pond; tank; dike, embankment
郡 | jùn | administrative division
韬 | tāo | sheath, scabbard, bow case
挟 | xié | clasp under arm; hold to bosom
牟 | móu | make; seek, get; barley; low
糙 | cāo | coarse, harsh, rough, unpolished rice
阎 | yán | village gate; surname
旻 | mín | heaven
赘 | zhuì | unnecessary, superfluous
霆 | tíng | a sudden peal of thunder
呎 | chǐ | foot
炭 | tàn | charcoal; coal; carbon
霄 | xiāo | sky; clouds, mist; night
媳 | xí | daughter-in-law
瘤 | liú | tumor, lump, goiter
猿 | yuán | ape
飏 | yáng | soar, fly, float; scatter
煚 | jiǒng | 
铠 | kǎi | armor, chain mail
蝠 | fú | kind of bat
钜 | jù | steel, iron; great
苓 | líng | fungus, tuber; licorice
傀 | guī | great, gigantic; puppet
烬 | jìn | cinders, ashes, embers; remnants
墅 | shù | villa, country house
璇 | xuán | beautiful jade; star
困 | kùn | be tired, sleepy
愣 | léng | be in a daze
恬 | tián | quiet, calm, tranquil, peaceful
嫉 | jí | jealousy; be jealous of
琐 | suǒ | fragments; trifling, petty; troublesome
嫂 | sǎo | sister-in-law, elder brother's wife
淼 | miǎo | a wide expanse of water
梳 | shū | comb; brush
憎 | zēng | hate, detest, abhor; hatred
搂 | lǒu | hug, embrace; drag, pull
藻 | zǎo | splendid, magnificent; algae
酵 | xiào | yeast, leaven
屉 | tì | drawer; tray; pad; screen
陡 | dǒu | steep, sloping; abruptly, sudden
摺 | zhé | fold, bend; twisted, curved
箫 | xiāo | musical instrument like pan-pipes, bamboo flute
飨 | xiǎng | host banquet; banquet
桐 | tóng | name applied various trees
蚱 | zhà | grasshopper; (edible) locust; cicada
曦 | xī | sunlight, sunshine, early dawn
