啊	/ā/	À, ừ (biểu thị cảm thán)
将	/jiāng/	(dùng với tân ngữ); sẽ
将来	/jiānglái/	Tương lai
将要	/jiāngyào/	Sắp, sẽ
奖	/jiǎng/	Giải thưởng; trao giải
奖金	/jiǎngjīn/	Tiền thưởng
奖学金	/jiǎngxuéjīn/	Học bổng
降	/jiàng/	Giảm, hạ xuống
降低	/jiàngdī/	Giảm thấp
降价	/jiàngjià/	Giảm giá
降落	/jiàngluò/	Hạ cánh
降温	/jiàngwēn/	Giảm nhiệt độ
交	/jiāo/	Nộp, giao; bạn bè
骄傲	/jiāo’ào/	Tự hào; kiêu ngạo
交警	/jiāojǐng/	Cảnh sát giao thông
交流	/jiāoliú/	Giao lưu, trao đổi
郊区	/jiāoqū/	Ngoại ô
交通	/jiāotōng/	Giao thông
教练	/jiàoliàn/	Huấn luyện viên
教师	/jiàoshī/	Giáo viên
教授	/jiàoshòu/	Giáo sư
教学	/jiàoxué/	Giảng dạy
教育	/jiàoyù/	Giáo dục; giáo dục
叫作	/jiàozuò/	Được gọi là
街道	/jiēdào/	Đường phố
接受	/jiēshòu/	Chấp nhận
接着	/jiēzhe/	Tiếp theo; tiếp tục
结果	/jiéguǒ/	Kết quả; kết quả là
节假日	/jiéjiàrì/	Ngày lễ, kỳ nghỉ
节约	/jiéyuē/	Tiết kiệm
结账	/jiézhàng/	Thanh toán hóa đơn
解释	/jiěshì/	Giải thích
今后	/jīnhòu/	Từ nay về sau
仅	/jǐn/	Chỉ, duy nhất
尽管	/jǐnguǎn/	Cứ việc; dù
仅仅	/jǐnjǐn/	Chỉ, duy nhất
紧张	/jǐnzhāng/	Căng thẳng, hồi hộp
进入	/jìnrù/	Vào, gia nhập
进行	/jìnxíng/	Tiến hành
禁止	/jìnzhǐ/	Cấm
精彩	/jīngcǎi/	Xuất sắc, hấp dẫn
经济	/jīngjì/	Kinh tế; tiết kiệm
京剧	/jīngjù/	Kinh kịch (opera Bắc Kinh)
经历	/jīnglì/	Trải qua; kinh nghiệm
经验	/jīngyàn/	Kinh nghiệm
警察	/jǐngchá/	Cảnh sát
景点	/jǐngdiǎn/	Điểm du lịch, thắng cảnh
景区	/jǐngqū/	Khu du lịch, khu thắng cảnh
景色	/jǐngsè/	Phong cảnh
竟然	/jìngrán/	Không ngờ, hóa ra
竞争	/jìngzhēng/	Cạnh tranh
镜子	/jìngzi/	Gương
究竟	/jiūjìng/	Rốt cuộc, cuối cùng là
就是	/jiùshì/	Chính là, dù là
举	/jǔ/	Giơ lên, tổ chức, đưa ví dụ
举办	/jǔbàn/	Tổ chức
举例	/jǔlì/	Đưa ví dụ
举行	/jǔxíng/	Tổ chức, tiến hành
聚	/jù/	Tập hợp, tụ họp
聚餐	/jùcān/	Ăn chung, liên hoan
聚会	/jùhuì/	Tụ họp; buổi tụ họp
拒绝	/jùjué/	Từ chối
距离	/jùlí/	Khoảng cách; cách
剧院	/jùyuàn/	Nhà hát
开玩笑	/kāi wánxiào/	Đùa, trêu đùa
看法	/kànfǎ/	Quan điểm, ý kiến
烤	/kǎo/	Nướng, nướng
考虑	/kǎolǜ/	Xem xét, suy nghĩ
考生	/kǎoshēng/	Thí sinh
棵	/kē/	Cây (dùng cho cây cối)
科技	/kējì/	Khoa học kỹ thuật
科学	/kēxué/	Khoa học; khoa học
咳	/ké/	Ho
咳嗽	/késou/	Ho
可惜	/kěxī/	Tiếc, đáng tiếc
克	/kè/	Gam
课程	/kèchéng/	Khóa học, chương trình học
客气	/kèqi/	Lịch sự; khách khí
课堂	/kètáng/	Lớp học
客厅	/kètīng/	Phòng khách
肯定	/kěndìng/	Xác nhận; chắc chắn; chắc chắn
空	/kōng/	Trống, rỗng
空气	/kōngqì/	Không khí
恐怕	/kǒngpà/	E rằng, có lẽ
空	/kòng/	Để trống; rảnh; thời gian rảnh
口语	/kǒuyǔ/	Tiếng nói, khẩu ngữ
苦	/kǔ/	Đắng
快餐	/kuàicān/	Đồ ăn nhanh
快递	/kuàidì/	Chuyển phát nhanh
快速	/kuàisù/	Nhanh chóng
困	/kùn/	Buồn ngủ
困难	/kùnnan/	Khó khăn; khó khăn
拉	/lā/	Kéo, lôi
垃圾	/lājī/	Rác thải
辣	/là/	Cay
来不及	/láibují/	Không kịp
来得及	/láidejí/	Còn kịp
懒	/lǎn/	Lười biếng
浪费	/làngfèi/	Lãng phí
浪漫	/làngmàn/	Lãng mạn
老虎	/lǎohǔ/	Hổ
老家	/lǎojiā/	Quê hương cũ
老年	/lǎonián/	Người cao tuổi
老是	/lǎoshì/	Luôn luôn
冷静	/lěngjìng/	Bình tĩnh
理发	/lǐfà/	Cắt tóc
理解	/lǐjiě/	Hiểu
礼貌	/lǐmào/	Lịch sự; có lễ phép
理想	/lǐxiǎng/	Lý tưởng; lý tưởng
厉害	/lìhai/	Giỏi, lợi hại, dữ dội
力气	/lìqi/	Sức lực
例如	/lìrú/	Ví dụ như
例子	/lìzi/	Ví dụ
俩	/liǎ/	Hai (người)
连	/lián/	Kể cả, ngay cả
联系	/liánxì/	Liên lạc
凉	/liáng/	Mát, lạnh
量	/liáng/	Đo, cân
两	/liǎng/	Hai (dùng cho xe, động vật…)
亮	/liàng/	Sáng; sáng lên
列	/liè/	Sắp xếp; hàng
零下	/líng xià/	Dưới không độ
零花钱	/línghuāqián/	Tiền tiêu vặt
零钱	/língqián/	Tiền lẻ
零食	/língshí/	Đồ ăn vặt
另	/lìng/	Khác; riêng
另外	/lìngwài/	Ngoài ra; thêm
留	/liú/	Ở lại, giữ lại
流	/liú/	Chảy
流利	/liúlì/	Lưu loát
留下	/liúxia/	Để lại
流行	/liúxíng/	Phổ biến, thịnh hành
路过	/lùguò/	Đi ngang qua
旅馆	/lǚguǎn/	Khách sạn
旅客	/lǚkè/	Hành khách, du khách
旅行	/lǚxíng/	Du lịch
律师	/lǜshī/	Luật sư
乱	/luàn/	Lộn xộn; bừa bãi
落	/luò/	Rơi, hạ xuống
麻烦	/máfan/	Phiền phức; làm phiền; rắc rối
馒头	/mántou/	Bánh bao hấp
满	/mǎn/	Đầy; làm đầy
毛巾	/máojīn/	Khăn mặt
毛衣	/máoyī/	Áo len
帽子	/màozi/	Mũ
美	/měi/	Đẹp
美好	/měihǎo/	Tốt đẹp, tươi đẹp
美景	/měijǐng/	Cảnh đẹp
美丽	/měilì/	Xinh đẹp
美食	/měishí/	Món ngon, ẩm thực
梦	/mèng/	Giấc mơ; mơ
梦想	/mèngxiǎng/	Ước mơ; mơ ước
密码	/mìmǎ/	Mật khẩu
免费	/miǎnfèi/	Miễn phí
面对	/miànduì/	Đối mặt
面试	/miànshì/	Phỏng vấn; buổi phỏng vấn
秒	/miǎo/	Giây
民族	/mínzú/	Dân tộc
末	/mò/	Cuối, cuối cùng
母女	/mǔnǚ/	Mẹ và con gái
母亲	/mǔqīn/	Mẹ
母子	/mǔzǐ/	Mẹ và con trai
目标	/mùbiāo/	Mục tiêu
目的	/mùdì/	Mục đích
目的地	/mùdìdì/	Điểm đến
目前	/mùqián/	Hiện tại
耐心	/nàixīn/	Kiên nhẫn; sự kiên nhẫn
南部	/nánbù/	Phía Nam
难道	/nándào/	Chẳng lẽ, lẽ nào
男士	/nánshì/	Nam giới, quý ông
难受	/nánshòu/	Khó chịu, đau đớn
难忘	/nánwàng/	Khó quên
男性	/nánxìng/	Nam giới
内	/nèi/	Bên trong
内容	/nèiróng/	Nội dung
内心	/nèixīn/	Tâm hồn, nội tâm
能否	/néng fǒu/	Có thể hay không
能够	/nénggòu/	Có thể
能力	/nénglì/	Khả năng
嗯	/ǹg/	Ừ, ừm
年底	/niándǐ/	Cuối năm
年龄	/niánlíng/	Tuổi
农村	/nóngcūn/	Nông thôn
弄	/nòng/	Làm, sửa
女性	/nǚxìng/	Nữ giới
暖和	/nuǎnhuo/	Ấm áp; sưởi ấm
偶尔	/ǒu’ěr/	Thỉnh thoảng; thỉnh thoảng
拍	/pāi/	Vỗ, chụp ảnh; nhịp
排	/pái/	Xếp hàng; hàng; hàng
牌	/pái/	Bảng, nhãn hiệu
排队	/páiduì/	Xếp hàng
排球	/páiqiú/	Bóng chuyền
牌子	/páizi/	Nhãn hiệu, biển
判断	/pànduàn/	Phán đoán
陪	/péi/	Đi cùng
批评	/pīpíng/	Phê bình
皮肤	/pífū/	Da
脾气	/píqi/	Tính tình
皮鞋	/píxié/	Giày da
篇	/piān/	Bài (bài viết)
片	/piàn/	Miếng, mảnh; mảnh
乒乓球	/pīngpāngqiú/	Bóng bàn
平常	/píngcháng/	Bình thường; thường ngày
破	/pò/	Hỏng, vỡ; làm vỡ
葡萄	/pútao/	Nho
葡萄酒	/pútaojiǔ/	Rượu vang
普遍	/pǔbiàn/	Phổ biến
普通	/pǔtōng/	Bình thường, phổ thông
普通话	/pǔtōnghuà/	Tiếng phổ thông (Quan thoại)
期	/qī/	Kỳ, giai đoạn
期末	/qīmò/	Cuối kỳ
期中	/qīzhōng/	Giữa kỳ
其次	/qícì/	Tiếp theo, thứ hai
其中	/qízhōng/	Trong đó
起到	/qǐdào/	Phát huy tác dụng
气	/qì/	Khí, hơi; tức giận
气候	/qìhòu/	Khí hậu
汽水	/qìshuǐ/	Nước ngọt có ga
气温	/qìwēn/	Nhiệt độ không khí
千克	/qiānkè/	Kilôgam
千万	/qiānwàn/	Nhất định, muôn vàn
签证	/qiānzhèng/	Thị thực; cấp thị thực
前方	/qiánfāng/	Phía trước
前后	/qiánhòu/	Trước sau, khoảng
强	/qiáng/	Mạnh
敲	/qiāo/	Gõ, đập
桥	/qiáo/	Cầu
巧	/qiǎo/	Khéo, may mắn
巧克力	/qiǎokèlì/	Sô cô la
亲戚	/qīnqi/	Họ hàng
琴	/qín/	Đàn (nhạc cụ)
轻	/qīng/	Nhẹ, nhẹ nhàng
青年	/qīngnián/	Thanh niên
轻松	/qīngsōng/	Thư giãn, nhẹ nhàng
情况	/qíngkuàng/	Tình hình
庆祝	/qìngzhù/	Ăn mừng
球队	/qiúduì/	Đội bóng
球迷	/qiúmí/	Fan bóng đá
区	/qū/	Khu vực
区别	/qūbié/	Sự khác biệt; phân biệt
取	/qǔ/	Lấy, nhận
取得	/qǔdé/	Đạt được
取消	/qǔxiāo/	Hủy bỏ
全	/quán/	Toàn bộ; hoàn toàn
全部	/quánbù/	Toàn bộ
全都	/quándōu/	Tất cả đều
全球	/quánqiú/	Toàn cầu
全身	/quánshēn/	Toàn thân
缺	/quē/	Thiếu, khuyết
缺点	/quēdiǎn/	Nhược điểm, khuyết điểm
缺少	/quēshǎo/	Thiếu, khan hiếm
却	/què/	Nhưng, thế mà
确实	/quèshí/	Quả thật, đúng là
然而	/rán’ér/	Tuy nhiên, nhưng
热闹	/rènao/	Nhộn nhịp, sôi động; làm sôi động; không khí nhộn nhịp
人生	/rénshēng/	Cuộc đời, nhân sinh
人数	/rénshù/	Số lượng người
人员	/rényuán/	Nhân viên, cán bộ
任何	/rènhé/	Bất kỳ, bất cứ
任务	/rènwu/	Nhiệm vụ, công việc
扔	/rēng/	Ném, vứt
仍	/réng/	Vẫn, vẫn còn
仍然	/réngrán/	Vẫn, vẫn còn
日常	/rìcháng/	Hàng ngày, thường ngày
日记	/rìjì/	Nhật ký
日期	/rìqī/	Ngày tháng
日子	/rìzi/	Ngày tháng, cuộc sống
入	/rù/	Vào, nhập
入口	/rùkǒu/	Lối vào
入学	/rùxué/	Nhập học
入住	/rùzhù/	Nhận phòng, vào ở
散步	/sànbù/	Đi dạo
扫码	/sǎomǎ/	Quét mã
森林	/sēnlín/	Rừng
商量	/shāngliang/	Thảo luận, bàn bạc
商品	/shāngpǐn/	Hàng hóa, sản phẩm
伤心	/shāngxīn/	Buồn bã, đau lòng
上门	/shàngmén/	Đến tận nhà
稍	/shāo/	Hơi, một chút
稍微	/shāowēi/	Hơi, một chút
少见	/shǎojiàn/	Hiếm thấy
少量	/shǎoliàng/	Lượng ít, một ít
少数	/shǎoshù/	Số ít, thiểu số
少年	/shàonián/	Thiếu niên
社会	/shèhuì/	Xã hội
摄氏度	/shèshìdù/	Độ C
身	/shēn/	Thân thể; bộ (quần áo)
深	/shēn/	Sâu
身份证	/shēnfènzhèng/	Chứng minh thư
申请	/shēnqǐng/	Nộp đơn, xin
甚至	/shènzhì/	Thậm chí
生	/shēng/	Sinh, sản xuất
生	/shēng/	Sống, chưa chín
生命	/shēngmìng/	Sự sống, sinh mệnh
