
砂 | shā | sand; pebbles, gravel; gritty
幅 | fú | piece, strip, breadth of, hem
迪 | dí | enlighten, advance; progress
柳 | liǔ | willow tree; pleasure
瑜 | yú | flawless gem or jewel
矛 | máo | spear, lance; KangXi radical 110
吊 | diào | condole, mourn, pity; hang
侯 | hóu | marquis, lord; target in archery
玛 | mǎ | agate; cornelian
撑 | chēng | prop up, support; brace; to push off (with a pole)
薄 | bó | thin, slight, weak; poor, stingy
敦 | dūn | esteem; honest, candid, sincere
挤 | jǐ | crowd, squeeze, push against
墨 | mò | ink; writing
琪 | qí | type of jade
凌 | líng | pure; virtuous; insult; maltreat
侧 | cè | side; incline, slant, lean
枫 | fēng | maple tree
嗨 | hǎi | hi
梯 | tī | ladder, steps, stairs; lean
梁 | liáng | bridge; beam; rafters; surname
廷 | tíng | court
儒 | rú | Confucian scholar
咬 | yǎo | bite, gnaw
岚 | lán | mountain mist, mountain haze
览 | lǎn | look at, inspect; perceive
兔 | tù | rabbit, hare
怖 | bù | terror, fear; frighten; terrified
稿 | gǎo | draft, manuscript, rough copy
齿 | chǐ | teeth; gears, cogs; age; KangXi radical 211
狱 | yù | prison, jail; case; lawsuit
爷 | yé | father, grandfather
迈 | mài | take a big stride; pass by
闷 | mèn | gloomy, depressed, melancholy
乔 | qiáo | tall, lofty; proud, stately
姿 | zī | one's manner, carriage, bearing
踪 | zōng | footprints, traces, tracks
宾 | bīn | guest, visitor; surname; submit
家 | jiā | house, home, residence; family
弘 | hóng | enlarge, expand; liberal, great
韵 | yùn | rhyme; vowel
岭 | lǐng | mountain ridge, mountain peak
咦 | yí | expression of surprise
裤 | kù | trousers, pants
壳 | ké | casing, shell, husk, hull, skin
孝 | xiào | filial piety, obedience; mourning
仇 | chóu | enemy, hate, hatred, enmity
誉 | yù | fame, reputation; praise
妮 | nī | maid, servant girl; cute girl
惧 | jù | fear, be afraid of, dread
促 | cù | urge, press, hurry; close
驶 | shǐ | sail, drive, pilot; fast, quick
疼 | téng | aches, pains; be fond of; love
凶 | xiōng | culprit; murder; bad, sad
粗 | cū | rough, thick, course; rude
耍 | shuǎ | frolic, play, amuse, play with
糕 | gāo | cakes, pastry
仲 | zhòng | middle brother; go between, mediator; surname
裂 | liè | split, crack, break open; rend
吟 | yín | sing, hum; recite; type of poetry
陀 | tuó | steep bank, rough terrain
赌 | dǔ | bet, gamble, wager; compete
爵 | jué | feudal title or rank
哉 | zāi | final exclamatory particle
亏 | kuī | lose, fail; damage; deficient
锅 | guō | cooking-pot, saucepan
刷 | shuā | brush; clean with brush, scrub
旭 | xù | rising sun; brilliance; radiant
晴 | qíng | clear weather, fine weather
蝶 | dié | butterfly
阔 | kuò | broad, ample, wide; be apart
洩 | xiè | leak, drip; vent or release
顽 | wán | obstinate, stubborn; recalcitrant
牧 | mù | tend cattle, shepherd
契 | qì | deed, contract, bond; engrave
轰 | hōng | rumble, explosion, blast
羞 | xiū | disgrace, shame; ashamed; shy
十 | shí | pick up, collect, tidy up; accounting form of the numeral ten
锦 | jǐn | brocade, tapestry; embroidered















































































































































































































































































































































































































































































































































































































